Time(s),CH1V,CH2V
-4.920000e-07,2.066667e-04,3.386667e-04
-4.910000e-07,9.333334e-05,-8.800000e-05
-4.900000e-07,2.533333e-05,4.666667e-04
-4.890000e-07,1.273333e-04,-2.373333e-04
-4.880000e-07,2.293333e-04,-3.013333e-04
-4.870000e-07,1.160000e-04,-1.048000e-03
-4.860000e-07,2.180000e-04,-8.346667e-04
-4.850000e-07,4.106667e-04,-7.066667e-04
-4.840000e-07,7.066667e-05,-6.213333e-04
-4.830000e-07,-8.666667e-06,-7.706666e-04
-4.820000e-07,-2.000000e-05,-2.160000e-04
-4.810000e-07,-2.353333e-04,-1.093333e-04
-4.800000e-07,1.160000e-04,2.533333e-04
-4.790000e-07,3.313333e-04,-5.786667e-04
-4.780000e-07,3.200000e-04,-7.280000e-04
-4.770000e-07,1.613333e-04,-7.920000e-04
-4.760000e-07,3.426667e-04,-6.640000e-04
-4.750000e-07,1.726667e-04,-7.706666e-04
-4.740000e-07,8.200000e-05,-4.293333e-04
-4.730000e-07,-7.666666e-05,-3.653333e-04
-4.720000e-07,2.533333e-05,-2.666667e-06
-4.710000e-07,8.200000e-05,-4.293333e-04
-4.700000e-07,1.160000e-04,-8.800000e-05
-4.690000e-07,2.533333e-05,-5.360000e-04
-4.680000e-07,3.426667e-04,-2.160000e-04
-4.670000e-07,1.386667e-04,-7.493334e-04
-4.660000e-07,1.726667e-04,-2.586667e-04
-4.650000e-07,-6.533333e-05,-8.986667e-04
-4.640000e-07,-7.666666e-05,-3.440000e-04
-4.630000e-07,1.613333e-04,-3.866667e-04
-4.620000e-07,2.293333e-04,-1.946667e-04
-4.610000e-07,1.840000e-04,-2.160000e-04
-4.600000e-07,1.386667e-04,-2.586667e-04
-4.590000e-07,1.726667e-04,-5.146667e-04
-4.580000e-07,1.160000e-04,-5.786667e-04
-4.570000e-07,8.200000e-05,-1.093333e-04
-4.560000e-07,8.200000e-05,-4.720000e-04
-4.550000e-07,1.386667e-04,-1.733333e-04
-4.540000e-07,2.860000e-04,-4.293333e-04
-4.530000e-07,2.666667e-06,-1.093333e-04
-4.520000e-07,7.066667e-05,-1.093333e-04
-4.510000e-07,2.633333e-04,-8.346667e-04
-4.500000e-07,2.180000e-04,-3.226667e-04
-4.490000e-07,1.840000e-04,-1.946667e-04
-4.480000e-07,2.860000e-04,-4.080000e-04
-4.470000e-07,5.933333e-05,-7.706666e-04
-4.460000e-07,2.180000e-04,-2.586667e-04
-4.450000e-07,1.726667e-04,-3.653333e-04
-4.440000e-07,2.066667e-04,1.680000e-04
-4.430000e-07,8.200000e-05,-4.293333e-04
-4.420000e-07,2.633333e-04,6.133333e-05
-4.410000e-07,1.500000e-04,-2.666667e-06
-4.400000e-07,2.533333e-05,-2.586667e-04
-4.390000e-07,1.500000e-04,-7.920000e-04
-4.380000e-07,4.800000e-05,-1.093333e-04
-4.370000e-07,1.386667e-04,-4.506667e-04
-4.360000e-07,2.406667e-04,1.680000e-04
-4.350000e-07,9.333334e-05,-5.146667e-04
-4.340000e-07,2.666667e-06,-5.360000e-04
-4.330000e-07,8.200000e-05,-6.000000e-04
-4.320000e-07,2.633333e-04,-6.666667e-05
-4.310000e-07,2.406667e-04,-3.013333e-04
-4.300000e-07,1.726667e-04,-1.520000e-04
-4.290000e-07,-3.133333e-05,-3.653333e-04
-4.280000e-07,1.613333e-04,5.306667e-04
-4.270000e-07,9.333334e-05,-8.346667e-04
-4.260000e-07,2.533333e-05,-1.093333e-04
-4.250000e-07,3.666667e-05,-4.080000e-04
-4.240000e-07,2.066667e-04,-3.440000e-04
-4.230000e-07,1.953333e-04,-3.013333e-04
-4.220000e-07,1.726667e-04,-6.853333e-04
-4.210000e-07,1.386667e-04,-7.280000e-04
-4.200000e-07,2.180000e-04,-1.093333e-04
-4.190000e-07,1.500000e-04,-4.533333e-05
-4.180000e-07,2.293333e-04,1.680000e-04
-4.170000e-07,1.160000e-04,-1.520000e-04
-4.160000e-07,1.046667e-04,-4.080000e-04
-4.150000e-07,1.953333e-04,-5.360000e-04
-4.140000e-07,8.200000e-05,-8.560000e-04
-4.130000e-07,1.160000e-04,-6.853333e-04
-4.120000e-07,1.726667e-04,-3.653333e-04
-4.110000e-07,-7.666666e-05,-4.720000e-04
-4.100000e-07,-1.333333e-04,-8.800000e-05
-4.090000e-07,3.666667e-05,-2.400000e-05
-4.080000e-07,9.333334e-05,-1.733333e-04
-4.070000e-07,1.386667e-04,-5.146667e-04
-4.060000e-07,2.180000e-04,-6.000000e-04
-4.050000e-07,1.046667e-04,-6.426667e-04
-4.040000e-07,2.406667e-04,-7.493334e-04
-4.030000e-07,3.766667e-04,-1.090667e-03
-4.020000e-07,1.500000e-04,-9.413333e-04
-4.010000e-07,-8.800000e-05,-2.400000e-05
-4.000000e-07,2.406667e-04,-1.520000e-04
-3.990000e-07,1.613333e-04,-3.226667e-04
-3.980000e-07,1.386667e-04,1.866667e-05
-3.970000e-07,7.066667e-05,-4.293333e-04
-3.960000e-07,1.613333e-04,-4.720000e-04
-3.950000e-07,2.860000e-04,-7.920000e-04
-3.940000e-07,2.633333e-04,-7.920000e-04
-3.930000e-07,-8.666667e-06,-9.626666e-04
-3.920000e-07,-7.666666e-05,-4.293333e-04
-3.910000e-07,1.726667e-04,-6.000000e-04
-3.900000e-07,1.613333e-04,3.386667e-04
-3.890000e-07,1.160000e-04,2.746667e-04
-3.880000e-07,1.500000e-04,4.666667e-04
-3.870000e-07,1.500000e-04,-4.720000e-04
-3.860000e-07,2.633333e-04,-5.360000e-04
-3.850000e-07,1.386667e-04,-1.112000e-03
-3.840000e-07,2.066667e-04,-9.626666e-04
-3.830000e-07,1.953333e-04,-8.346667e-04
-3.820000e-07,2.066667e-04,-4.293333e-04
-3.810000e-07,9.333334e-05,-4.080000e-04
-3.800000e-07,1.160000e-04,5.306667e-04
-3.790000e-07,-3.133333e-05,1.253333e-04
-3.780000e-07,2.293333e-04,2.320000e-04
-3.770000e-07,2.973333e-04,-3.226667e-04
-3.760000e-07,1.953333e-04,-4.293333e-04
-3.750000e-07,2.746667e-04,-1.133333e-03
-3.740000e-07,2.633333e-04,-7.706666e-04
-3.730000e-07,1.386667e-04,-1.093333e-04
-3.720000e-07,2.533333e-05,-6.666667e-05
-3.710000e-07,2.066667e-04,8.266667e-05
-3.700000e-07,2.293333e-04,1.866667e-05
-3.690000e-07,1.160000e-04,1.680000e-04
-3.680000e-07,9.333334e-05,1.680000e-04
-3.670000e-07,-5.400000e-05,-4.933333e-04
-3.660000e-07,3.086667e-04,-9.413333e-04
-3.650000e-07,1.613333e-04,-7.493334e-04
-3.640000e-07,2.293333e-04,-6.853333e-04
-3.630000e-07,-6.533333e-05,-8.986667e-04
-3.620000e-07,9.333334e-05,-4.533333e-05
-3.610000e-07,1.500000e-04,1.866667e-05
-3.600000e-07,2.406667e-04,5.520000e-04
-3.590000e-07,2.293333e-04,2.960000e-04
-3.580000e-07,1.386667e-04,-2.586667e-04
-3.570000e-07,3.200000e-04,-6.426667e-04
-3.560000e-07,3.313333e-04,-5.360000e-04
-3.550000e-07,9.333334e-05,-1.346667e-03
-3.540000e-07,9.333334e-05,-5.146667e-04
-3.530000e-07,-6.533333e-05,-5.360000e-04
-3.520000e-07,-3.133333e-05,1.866667e-05
-3.510000e-07,1.046667e-04,1.253333e-04
-3.500000e-07,2.666667e-06,-4.533333e-05
-3.490000e-07,1.500000e-04,3.386667e-04
-3.480000e-07,3.653333e-04,3.173333e-04
-3.470000e-07,3.086667e-04,-1.176000e-03
-3.460000e-07,4.560000e-04,-8.133333e-04
-3.450000e-07,5.933333e-05,-7.066667e-04
-3.440000e-07,1.386667e-04,-4.293333e-04
-3.430000e-07,5.933333e-05,-3.013333e-04
-3.420000e-07,2.666667e-06,2.320000e-04
-3.410000e-07,-1.446667e-04,4.000000e-05
-3.400000e-07,3.666667e-05,1.253333e-04
-3.390000e-07,3.426667e-04,-5.786667e-04
-3.380000e-07,4.560000e-04,-3.226667e-04
-3.370000e-07,2.293333e-04,-6.426667e-04
-3.360000e-07,5.126667e-04,-6.213333e-04
-3.350000e-07,2.633333e-04,-8.133333e-04
-3.340000e-07,2.406667e-04,-9.626666e-04
-3.330000e-07,-5.400000e-05,-1.520000e-04
-3.320000e-07,2.533333e-05,2.960000e-04
-3.310000e-07,-6.533333e-05,-3.226667e-04
-3.300000e-07,2.520000e-04,-4.533333e-05
-3.290000e-07,1.160000e-04,-4.720000e-04
-3.280000e-07,4.220000e-04,-1.733333e-04
-3.270000e-07,2.293333e-04,-7.920000e-04
-3.260000e-07,3.426667e-04,-6.426667e-04
-3.250000e-07,2.293333e-04,-7.066667e-04
-3.240000e-07,3.666667e-05,-2.160000e-04
-3.230000e-07,-3.133333e-05,-2.586667e-04
-3.220000e-07,1.160000e-04,1.866667e-05
-3.210000e-07,3.666667e-05,2.320000e-04
-3.200000e-07,2.633333e-04,-2.373333e-04
-3.190000e-07,7.066667e-05,-5.786667e-04
-3.180000e-07,2.746667e-04,-1.093333e-04
-3.170000e-07,1.953333e-04,-4.293333e-04
-3.160000e-07,2.746667e-04,-3.013333e-04
-3.150000e-07,5.933333e-05,-7.920000e-04
-3.140000e-07,9.333334e-05,-1.946667e-04
-3.130000e-07,5.933333e-05,-2.666667e-06
-3.120000e-07,2.666667e-06,1.893333e-04
-3.110000e-07,-1.106667e-04,-1.306667e-04
-3.100000e-07,5.933333e-05,-5.360000e-04
-3.090000e-07,2.746667e-04,-2.666667e-06
-3.080000e-07,3.426667e-04,-2.160000e-04
-3.070000e-07,2.066667e-04,-2.800000e-04
-3.060000e-07,1.840000e-04,-6.426667e-04
-3.050000e-07,1.500000e-04,-3.226667e-04
-3.040000e-07,1.726667e-04,-4.720000e-04
-3.030000e-07,1.500000e-04,1.893333e-04
-3.020000e-07,1.273333e-04,-8.800000e-05
-3.010000e-07,1.386667e-04,1.466667e-04
-3.000000e-07,2.666667e-06,3.386667e-04
-2.990000e-07,1.500000e-04,2.960000e-04
-2.980000e-07,2.066667e-04,-7.493334e-04
-2.970000e-07,1.386667e-04,-5.573333e-04
-2.960000e-07,2.180000e-04,-1.946667e-04
-2.950000e-07,1.273333e-04,-4.293333e-04
-2.940000e-07,-6.533333e-05,-1.946667e-04
-2.930000e-07,-1.333333e-04,1.893333e-04
-2.920000e-07,1.500000e-04,1.466667e-04
-2.910000e-07,3.666667e-05,-2.666667e-06
-2.900000e-07,3.313333e-04,7.226667e-04
-2.890000e-07,4.786667e-04,-1.520000e-04
-2.880000e-07,4.106667e-04,3.173333e-04
-2.870000e-07,2.293333e-04,-4.720000e-04
-2.860000e-07,4.333333e-04,-5.573333e-04
-2.850000e-07,1.386667e-04,-4.293333e-04
-2.840000e-07,1.613333e-04,-4.080000e-04
-2.830000e-07,-1.446667e-04,-5.786667e-04
-2.820000e-07,8.200000e-05,-4.533333e-05
