Time(s),CH1V,CH2V,CH3V
-2.640000e-07,3.786667e-03,4.693334e-03,4.400000e-03
-2.635000e-07,4.160000e-03,4.453333e-03,6.133333e-03
-2.630000e-07,5.413333e-03,4.666667e-03,4.480000e-03
-2.625000e-07,5.493333e-03,5.053333e-03,-2.133333e-04
-2.620000e-07,4.613333e-03,6.173333e-03,-4.986667e-03
-2.615000e-07,4.786666e-03,7.240000e-03,-6.773334e-03
-2.610000e-07,5.906667e-03,6.586667e-03,-5.280000e-03
-2.605000e-07,5.880000e-03,4.840000e-03,-2.960000e-03
-2.600000e-07,4.400000e-03,4.346667e-03,-1.173333e-03
-2.595000e-07,3.520000e-03,5.440000e-03,3.733333e-04
-2.590000e-07,3.840000e-03,6.320000e-03,8.266667e-04
-2.585000e-07,4.040000e-03,6.733333e-03,-1.226667e-03
-2.580000e-07,4.106666e-03,7.893333e-03,-3.893333e-03
-2.575000e-07,5.146666e-03,9.253333e-03,-3.146667e-03
-2.570000e-07,6.506667e-03,8.693334e-03,1.520000e-03
-2.565000e-07,6.173333e-03,6.120000e-03,6.320000e-03
-2.560000e-07,4.400000e-03,3.866667e-03,6.960000e-03
-2.555000e-07,3.626667e-03,3.360000e-03,2.346667e-03
-2.550000e-07,4.546667e-03,4.080000e-03,-3.306667e-03
-2.545000e-07,5.680000e-03,5.493333e-03,-4.240000e-03
-2.540000e-07,6.093333e-03,7.506667e-03,-5.600000e-04
-2.535000e-07,6.173333e-03,8.813334e-03,2.800000e-03
-2.530000e-07,6.000000e-03,7.773333e-03,3.786667e-03
-2.525000e-07,5.146666e-03,5.373333e-03,5.040000e-03
-2.520000e-07,3.960000e-03,4.306667e-03,6.666667e-03
-2.515000e-07,3.360000e-03,5.080000e-03,5.440000e-03
-2.510000e-07,3.693333e-03,5.786667e-03,1.466667e-03
-2.505000e-07,4.306667e-03,6.266667e-03,-1.573333e-03
-2.500000e-07,4.666667e-03,7.946666e-03,-2.106667e-03
-2.495000e-07,4.733333e-03,9.666666e-03,-1.306667e-03
-2.490000e-07,4.693334e-03,8.546666e-03,6.133333e-04
-2.485000e-07,4.786666e-03,5.346667e-03,4.533333e-03
