Time(s),CH1V,CH2V
-4.920000e-07,2.600000e-05,-4.066667e-04
-4.910000e-07,-6.200000e-05,-2.240000e-04
-4.900000e-07,8.000000e-06,-4.133333e-05
-4.890000e-07,1.633333e-04,-3.626667e-04
-4.880000e-07,1.846667e-04,-9.800000e-04
-4.870000e-07,4.466667e-05,-1.168000e-03
-4.860000e-07,-6.466667e-05,-9.053333e-04
-4.850000e-07,-3.066667e-05,-8.186667e-04
-4.840000e-07,7.000000e-05,-8.786666e-04
-4.830000e-07,1.453333e-04,-4.173333e-04
-4.820000e-07,1.780000e-04,3.013333e-04
-4.810000e-07,1.920000e-04,3.013333e-04
-4.800000e-07,2.133333e-04,-4.066667e-04
-4.790000e-07,2.440000e-04,-7.920000e-04
-4.780000e-07,2.600000e-04,-6.693333e-04
-4.770000e-07,2.160000e-04,-7.386667e-04
-4.760000e-07,1.053333e-04,-1.054667e-03
-4.750000e-07,8.000000e-06,-9.213333e-04
-4.740000e-07,1.333333e-05,-3.413333e-04
-4.730000e-07,6.733333e-05,-7.333334e-05
-4.720000e-07,3.200000e-05,-3.800000e-04
-4.710000e-07,-3.466667e-05,-7.706666e-04
-4.700000e-07,5.133333e-05,-9.053333e-04
-4.690000e-07,2.160000e-04,-8.946666e-04
-4.680000e-07,1.833333e-04,-9.320000e-04
-4.670000e-07,-1.333333e-05,-1.049333e-03
-4.660000e-07,-6.600000e-05,-1.130667e-03
-4.650000e-07,6.133333e-05,-1.038667e-03
-4.640000e-07,1.140000e-04,-7.066667e-04
-4.630000e-07,6.466667e-05,-2.453333e-04
-4.620000e-07,1.366667e-04,-4.666667e-05
-4.610000e-07,3.380000e-04,-4.333333e-04
-4.600000e-07,4.140000e-04,-1.028000e-03
-4.590000e-07,2.880000e-04,-1.125333e-03
-4.580000e-07,1.266667e-04,-8.400000e-04
-4.570000e-07,5.733333e-05,-9.320000e-04
-4.560000e-07,5.733333e-05,-1.290667e-03
-4.550000e-07,6.600000e-05,-1.065333e-03
-4.540000e-07,6.000000e-05,-2.880000e-04
-4.530000e-07,7.600000e-05,8.666667e-05
-4.520000e-07,1.593333e-04,-2.186667e-04
-4.510000e-07,2.486667e-04,-5.773333e-04
-4.500000e-07,2.300000e-04,-7.226667e-04
-4.490000e-07,1.406667e-04,-9.640000e-04
-4.480000e-07,1.293333e-04,-1.322667e-03
-4.470000e-07,1.620000e-04,-1.404000e-03
