Time(s),CH1V,CH2V,CH3V
-2.640000e-07,5.200000e-03,6.946667e-03,-1.920000e-03
-2.635000e-07,5.346667e-03,7.680000e-03,-2.666667e-05
-2.630000e-07,4.933333e-03,7.653333e-03,3.946667e-03
-2.625000e-07,4.200000e-03,7.040000e-03,6.533333e-03
-2.620000e-07,3.400000e-03,6.266667e-03,5.680000e-03
-2.615000e-07,2.986667e-03,5.853334e-03,2.906667e-03
-2.610000e-07,3.306667e-03,5.880000e-03,1.466667e-03
-2.605000e-07,4.106666e-03,6.146667e-03,1.226667e-03
-2.600000e-07,4.786666e-03,6.733333e-03,-7.200000e-04
-2.595000e-07,4.986667e-03,7.653333e-03,-3.040000e-03
-2.590000e-07,4.880000e-03,8.040000e-03,-1.013333e-03
-2.585000e-07,4.613333e-03,6.853333e-03,4.000000e-03
-2.580000e-07,4.373333e-03,4.906666e-03,5.973333e-03
-2.575000e-07,4.346667e-03,4.280000e-03,5.173333e-03
-2.570000e-07,4.640000e-03,5.346667e-03,7.173333e-03
-2.565000e-07,4.520000e-03,6.466667e-03,1.114667e-02
-2.560000e-07,3.253333e-03,6.973333e-03,1.018667e-02
-2.555000e-07,2.000000e-03,7.453333e-03,3.440000e-03
-2.550000e-07,2.800000e-03,8.160000e-03,-2.106667e-03
-2.545000e-07,4.880000e-03,8.333334e-03,-1.653333e-03
-2.540000e-07,5.373333e-03,7.480000e-03,3.093333e-03
-2.535000e-07,4.280000e-03,5.853334e-03,6.026667e-03
-2.530000e-07,4.226667e-03,4.640000e-03,2.613333e-03
-2.525000e-07,5.613334e-03,4.933333e-03,-3.786667e-03
-2.520000e-07,6.266667e-03,6.653334e-03,-5.280000e-03
-2.515000e-07,5.880000e-03,8.453334e-03,-1.120000e-03
-2.510000e-07,6.293333e-03,8.746667e-03,2.160000e-03
-2.505000e-07,7.413333e-03,7.093333e-03,2.506667e-03
-2.500000e-07,7.186667e-03,4.813334e-03,3.840000e-03
-2.495000e-07,5.466667e-03,3.893333e-03,6.320000e-03
