Time(s),CH1V,CH2V
-4.920000e-07,1.133333e-04,-2.320000e-04
-4.910000e-07,7.933333e-05,-5.093333e-04
-4.900000e-07,1.473333e-04,-3.600000e-04
-4.890000e-07,1.360000e-04,-1.866667e-05
-4.880000e-07,9.066667e-05,-6.133333e-05
-4.870000e-07,1.586667e-04,-8.506667e-04
-4.860000e-07,2.833333e-04,-8.506667e-04
-4.850000e-07,1.700000e-04,-8.720000e-04
-4.840000e-07,2.493333e-04,-7.440000e-04
-4.830000e-07,2.266667e-05,-2.960000e-04
-4.820000e-07,7.933333e-05,-1.893333e-04
-4.810000e-07,1.473333e-04,4.533333e-05
-4.800000e-07,-1.133333e-05,3.013333e-04
-4.790000e-07,2.266667e-04,-2.106667e-04
-4.780000e-07,2.720000e-04,-2.533333e-04
-4.770000e-07,1.926667e-04,-3.173333e-04
-4.760000e-07,4.080000e-04,-3.813333e-04
-4.750000e-07,2.493333e-04,-8.080000e-04
-4.740000e-07,2.493333e-04,-8.080000e-04
-4.730000e-07,2.266667e-05,-6.160000e-04
-4.720000e-07,1.133333e-05,5.573333e-04
-4.710000e-07,1.020000e-04,4.533333e-05
-4.700000e-07,2.493333e-04,5.146667e-04
-4.690000e-07,0.000000e+00,3.653333e-04
-4.680000e-07,0.000000e+00,3.440000e-04
-4.670000e-07,1.926667e-04,-1.426667e-03
-4.660000e-07,2.266667e-04,-1.021333e-03
-4.650000e-07,7.933333e-05,-8.720000e-04
-4.640000e-07,2.266667e-05,-3.386667e-04
-4.630000e-07,1.133333e-05,-5.306667e-04
-4.620000e-07,7.933333e-05,-1.253333e-04
-4.610000e-07,4.533333e-05,2.373333e-04
-4.600000e-07,1.926667e-04,5.786667e-04
-4.590000e-07,2.946667e-04,-3.813333e-04
-4.580000e-07,3.513333e-04,-6.133333e-05
-4.570000e-07,2.833333e-04,-4.026667e-04
-4.560000e-07,1.360000e-04,-3.386667e-04
-4.550000e-07,1.360000e-04,-9.360000e-04
-4.540000e-07,2.493333e-04,-3.386667e-04
-4.530000e-07,-1.700000e-04,-1.680000e-04
-4.520000e-07,6.800000e-05,6.640000e-04
-4.510000e-07,-1.473333e-04,2.400000e-05
-4.500000e-07,1.020000e-04,4.933333e-04
-4.490000e-07,3.626667e-04,-1.466667e-04
-4.480000e-07,4.193333e-04,-3.386667e-04
-4.470000e-07,2.493333e-04,-7.226667e-04
-4.460000e-07,3.173333e-04,-1.277333e-03
-4.450000e-07,-9.066667e-05,-8.506667e-04
-4.440000e-07,4.533333e-05,-3.813333e-04
-4.430000e-07,-4.533333e-05,-2.746667e-04
-4.420000e-07,1.586667e-04,-2.106667e-04
-4.410000e-07,1.133333e-04,2.800000e-04
-4.400000e-07,2.153333e-04,4.720000e-04
-4.390000e-07,2.493333e-04,-5.093333e-04
-4.380000e-07,1.586667e-04,-7.866666e-04
-4.370000e-07,6.800000e-05,-7.226667e-04
-4.360000e-07,1.700000e-04,-1.042667e-03
-4.350000e-07,1.246667e-04,-1.021333e-03
-4.340000e-07,-4.533333e-05,-4.240000e-04
-4.330000e-07,-1.133333e-05,2.160000e-04
