Time(s),CH1V
-2.500000e-07,1.500000e-03
-2.495000e-07,5.066667e-04
-2.490000e-07,5.066667e-04
-2.485000e-07,1.946667e-03
-2.480000e-07,1.946667e-03
-2.475000e-07,1.613333e-03
-2.470000e-07,3.933333e-04
-2.465000e-07,1.500000e-03
-2.460000e-07,2.866667e-04
-2.455000e-07,-1.266667e-03
-2.450000e-07,-2.666667e-04
-2.445000e-07,-1.593333e-03
-2.440000e-07,-9.333334e-04
-2.435000e-07,-1.373333e-03
-2.430000e-07,-2.926667e-03
-2.425000e-07,6.000000e-05
-2.420000e-07,-1.153333e-03
-2.415000e-07,-7.133333e-04
-2.410000e-07,-8.200000e-04
-2.405000e-07,-4.933333e-04
-2.400000e-07,7.266667e-04
-2.395000e-07,1.166667e-03
-2.390000e-07,1.280000e-03
-2.385000e-07,1.720000e-03
-2.380000e-07,1.060000e-03
-2.375000e-07,3.933333e-04
-2.370000e-07,5.066667e-04
-2.365000e-07,-4.666667e-05
-2.360000e-07,6.000000e-05
-2.355000e-07,-7.133333e-04
-2.350000e-07,-1.046667e-03
-2.345000e-07,-8.200000e-04
-2.340000e-07,-9.333334e-04
-2.335000e-07,-2.260000e-03
-2.330000e-07,-1.046667e-03
-2.325000e-07,-6.000000e-04
-2.320000e-07,-4.933333e-04
-2.315000e-07,-4.933333e-04
-2.310000e-07,-8.200000e-04
-2.305000e-07,7.266667e-04
-2.300000e-07,6.000000e-05
-2.295000e-07,1.280000e-03
-2.290000e-07,7.266667e-04
-2.285000e-07,1.720000e-03
-2.280000e-07,2.053333e-03
-2.275000e-07,7.266667e-04
-2.270000e-07,8.400000e-04
-2.265000e-07,1.280000e-03
-2.260000e-07,3.933333e-04
-2.255000e-07,-2.666667e-04
-2.250000e-07,-7.133333e-04
-2.245000e-07,-1.046667e-03
-2.240000e-07,-8.200000e-04
-2.235000e-07,-4.933333e-04
-2.230000e-07,-1.820000e-03
-2.225000e-07,-8.200000e-04
-2.220000e-07,-1.600000e-04
-2.215000e-07,-2.666667e-04
-2.210000e-07,-6.000000e-04
-2.205000e-07,5.066667e-04
-2.200000e-07,7.266667e-04
-2.195000e-07,7.266667e-04
-2.190000e-07,1.833333e-03
-2.185000e-07,2.273333e-03
-2.180000e-07,1.500000e-03
-2.175000e-07,1.833333e-03
-2.170000e-07,9.466666e-04
-2.165000e-07,-4.666667e-05
-2.160000e-07,2.866667e-04
-2.155000e-07,-1.153333e-03
-2.150000e-07,-1.046667e-03
-2.145000e-07,2.866667e-04
-2.140000e-07,-9.333334e-04
-2.135000e-07,-2.146667e-03
-2.130000e-07,-1.266667e-03
-2.125000e-07,-7.133333e-04
-2.120000e-07,6.000000e-05
-2.115000e-07,-4.666667e-05
-2.110000e-07,2.866667e-04
-2.105000e-07,6.133333e-04
-2.100000e-07,1.166667e-03
-2.095000e-07,5.066667e-04
-2.090000e-07,1.613333e-03
-2.085000e-07,6.133333e-04
-2.080000e-07,1.613333e-03
-2.075000e-07,1.280000e-03
-2.070000e-07,7.266667e-04
-2.065000e-07,5.066667e-04
-2.060000e-07,6.000000e-05
-2.055000e-07,-1.266667e-03
-2.050000e-07,-2.666667e-04
-2.045000e-07,-8.200000e-04
-2.040000e-07,-4.933333e-04
-2.035000e-07,-6.000000e-04
-2.030000e-07,-4.933333e-04
-2.025000e-07,-4.933333e-04
-2.020000e-07,-4.666667e-05
-2.015000e-07,-7.133333e-04
-2.010000e-07,1.733333e-04
-2.005000e-07,3.933333e-04
-2.000000e-07,1.060000e-03
-1.995000e-07,5.066667e-04
-1.990000e-07,1.060000e-03
-1.985000e-07,1.280000e-03
-1.980000e-07,5.066667e-04
-1.975000e-07,1.280000e-03
-1.970000e-07,-1.600000e-04
-1.965000e-07,-4.933333e-04
-1.960000e-07,8.400000e-04
-1.955000e-07,-1.486667e-03
-1.950000e-07,-7.133333e-04
-1.945000e-07,-4.933333e-04
-1.940000e-07,-4.666667e-05
-1.935000e-07,-1.266667e-03
-1.930000e-07,6.000000e-05
-1.925000e-07,-3.800000e-04
-1.920000e-07,5.066667e-04
-1.915000e-07,-1.600000e-04
-1.910000e-07,6.000000e-05
-1.905000e-07,1.393333e-03
-1.900000e-07,1.060000e-03
-1.895000e-07,-8.200000e-04
-1.890000e-07,1.393333e-03
-1.885000e-07,-1.600000e-04
-1.880000e-07,1.280000e-03
-1.875000e-07,1.060000e-03
-1.870000e-07,5.066667e-04
-1.865000e-07,1.500000e-03
-1.860000e-07,-4.666667e-05
-1.855000e-07,-2.666667e-04
-1.850000e-07,-9.333334e-04
-1.845000e-07,-4.933333e-04
-1.840000e-07,-1.600000e-04
-1.835000e-07,-1.706667e-03
-1.830000e-07,3.933333e-04
-1.825000e-07,-1.600000e-04
-1.820000e-07,-4.933333e-04
-1.815000e-07,-1.600000e-04
-1.810000e-07,6.133333e-04
-1.805000e-07,3.933333e-04
-1.800000e-07,7.266667e-04
-1.795000e-07,-3.800000e-04
-1.790000e-07,5.066667e-04
-1.785000e-07,1.613333e-03
-1.780000e-07,1.166667e-03
-1.775000e-07,-4.666667e-05
-1.770000e-07,-6.000000e-04
-1.765000e-07,-4.666667e-05
-1.760000e-07,-4.666667e-05
-1.755000e-07,-1.046667e-03
-1.750000e-07,-3.800000e-04
-1.745000e-07,1.733333e-04
-1.740000e-07,-9.333334e-04
-1.735000e-07,-9.333334e-04
-1.730000e-07,-9.333334e-04
-1.725000e-07,-8.200000e-04
-1.720000e-07,-1.600000e-04
-1.715000e-07,1.733333e-04
-1.710000e-07,5.066667e-04
-1.705000e-07,8.400000e-04
-1.700000e-07,5.066667e-04
-1.695000e-07,6.133333e-04
-1.690000e-07,2.866667e-04
-1.685000e-07,5.066667e-04
-1.680000e-07,1.060000e-03
-1.675000e-07,-1.600000e-04
-1.670000e-07,6.000000e-05
-1.665000e-07,6.000000e-05
-1.660000e-07,-4.666667e-05
-1.655000e-07,-6.000000e-04
-1.650000e-07,-4.933333e-04
-1.645000e-07,-2.666667e-04
-1.640000e-07,-2.666667e-04
-1.635000e-07,-9.333334e-04
-1.630000e-07,-7.133333e-04
-1.625000e-07,-4.666667e-05
-1.620000e-07,-1.046667e-03
-1.615000e-07,-1.153333e-03
-1.610000e-07,-1.600000e-04
-1.605000e-07,1.060000e-03
-1.600000e-07,7.266667e-04
-1.595000e-07,-1.600000e-04
-1.590000e-07,9.466666e-04
-1.585000e-07,1.166667e-03
-1.580000e-07,7.266667e-04
-1.575000e-07,6.000000e-05
-1.570000e-07,2.866667e-04
-1.565000e-07,-4.666667e-05
-1.560000e-07,-3.800000e-04
-1.555000e-07,-1.046667e-03
-1.550000e-07,-3.800000e-04
-1.545000e-07,6.000000e-05
-1.540000e-07,-3.800000e-04
-1.535000e-07,-1.373333e-03
-1.530000e-07,-9.333334e-04
-1.525000e-07,-7.133333e-04
-1.520000e-07,-1.046667e-03
-1.515000e-07,-3.800000e-04
-1.510000e-07,-4.666667e-05
-1.505000e-07,8.400000e-04
-1.500000e-07,1.280000e-03
-1.495000e-07,2.866667e-04
-1.490000e-07,1.060000e-03
-1.485000e-07,5.066667e-04
-1.480000e-07,1.833333e-03
-1.475000e-07,-1.600000e-04
-1.470000e-07,9.466666e-04
-1.465000e-07,6.000000e-05
-1.460000e-07,-2.666667e-04
-1.455000e-07,-7.133333e-04
-1.450000e-07,-2.666667e-04
-1.445000e-07,-1.153333e-03
-1.440000e-07,-2.666667e-04
-1.435000e-07,-1.153333e-03
-1.430000e-07,-6.000000e-04
-1.425000e-07,5.066667e-04
-1.420000e-07,2.866667e-04
-1.415000e-07,-2.666667e-04
-1.410000e-07,-2.666667e-04
-1.405000e-07,9.466666e-04
-1.400000e-07,1.500000e-03
-1.395000e-07,1.280000e-03
-1.390000e-07,-1.600000e-04
-1.385000e-07,1.060000e-03
-1.380000e-07,7.266667e-04
-1.375000e-07,5.066667e-04
-1.370000e-07,6.000000e-05
-1.365000e-07,-4.666667e-05
-1.360000e-07,5.066667e-04
-1.355000e-07,-1.486667e-03
-1.350000e-07,-2.040000e-03
-1.345000e-07,-8.200000e-04
-1.340000e-07,-7.133333e-04
-1.335000e-07,-1.373333e-03
-1.330000e-07,-8.200000e-04
-1.325000e-07,6.000000e-05
-1.320000e-07,3.933333e-04
-1.315000e-07,5.066667e-04
-1.310000e-07,5.066667e-04
-1.305000e-07,1.166667e-03
-1.300000e-07,1.833333e-03
-1.295000e-07,7.266667e-04
-1.290000e-07,1.280000e-03
-1.285000e-07,2.866667e-04
-1.280000e-07,7.266667e-04
-1.275000e-07,-8.200000e-04
-1.270000e-07,3.933333e-04
-1.265000e-07,6.133333e-04
-1.260000e-07,1.733333e-04
-1.255000e-07,-8.200000e-04
-1.250000e-07,-7.133333e-04
-1.245000e-07,-1.266667e-03
-1.240000e-07,-9.333334e-04
-1.235000e-07,-1.373333e-03
-1.230000e-07,-1.266667e-03
-1.225000e-07,-2.666667e-04
-1.220000e-07,2.866667e-04
-1.215000e-07,1.733333e-04
-1.210000e-07,9.466666e-04
-1.205000e-07,1.393333e-03
-1.200000e-07,1.280000e-03
-1.195000e-07,2.866667e-04
-1.190000e-07,1.500000e-03
-1.185000e-07,1.393333e-03
-1.180000e-07,1.833333e-03
-1.175000e-07,-7.133333e-04
-1.170000e-07,9.466666e-04
-1.165000e-07,5.066667e-04
-1.160000e-07,-3.800000e-04
-1.155000e-07,-2.040000e-03
-1.150000e-07,-9.333334e-04
-1.145000e-07,-4.666667e-05
-1.140000e-07,-1.373333e-03
-1.135000e-07,-1.373333e-03
-1.130000e-07,-4.933333e-04
-1.125000e-07,-7.133333e-04
-1.120000e-07,1.733333e-04
-1.115000e-07,-4.666667e-05
-1.110000e-07,9.466666e-04
-1.105000e-07,1.280000e-03
-1.100000e-07,9.466666e-04
-1.095000e-07,9.466666e-04
-1.090000e-07,7.266667e-04
-1.085000e-07,1.280000e-03
-1.080000e-07,1.613333e-03
-1.075000e-07,-2.666667e-04
-1.070000e-07,-3.800000e-04
-1.065000e-07,-2.666667e-04
-1.060000e-07,-6.000000e-04
-1.055000e-07,-1.820000e-03
-1.050000e-07,-8.200000e-04
-1.045000e-07,-1.926667e-03
-1.040000e-07,-1.153333e-03
-1.035000e-07,-8.200000e-04
-1.030000e-07,-4.933333e-04
-1.025000e-07,8.400000e-04
-1.020000e-07,-1.600000e-04
-1.015000e-07,-1.600000e-04
-1.010000e-07,1.500000e-03
-1.005000e-07,1.500000e-03
-1.000000e-07,1.060000e-03
-9.950000e-08,1.060000e-03
-9.900000e-08,8.400000e-04
-9.850000e-08,1.166667e-03
-9.800000e-08,9.466666e-04
-9.750000e-08,-1.600000e-04
-9.700000e-08,-1.266667e-03
-9.650000e-08,-1.820000e-03
-9.600000e-08,-3.800000e-04
-9.550000e-08,-2.146667e-03
-9.500000e-08,-8.200000e-04
-9.450000e-08,-1.600000e-04
-9.400000e-08,-1.373333e-03
-9.350000e-08,-7.133333e-04
-9.300000e-08,3.933333e-04
-9.250000e-08,6.000000e-05
-9.200000e-08,5.066667e-04
-9.150000e-08,1.733333e-04
-9.100000e-08,1.280000e-03
-9.050000e-08,1.946667e-03
-9.000000e-08,1.393333e-03
-8.950000e-08,1.733333e-04
-8.900000e-08,2.866667e-04
-8.850000e-08,-3.800000e-04
-8.800000e-08,7.266667e-04
-8.750000e-08,-1.266667e-03
-8.700000e-08,-1.600000e-04
-8.650000e-08,-3.800000e-04
-8.600000e-08,-1.046667e-03
-8.550000e-08,-1.926667e-03
-8.500000e-08,-8.200000e-04
-8.450000e-08,-8.200000e-04
-8.400000e-08,-3.800000e-04
-8.350000e-08,-1.373333e-03
-8.300000e-08,-1.600000e-04
-8.250000e-08,1.393333e-03
-8.200000e-08,8.400000e-04
-8.150000e-08,1.166667e-03
-8.100000e-08,8.400000e-04
-8.050000e-08,1.280000e-03
-8.000000e-08,1.060000e-03
-7.950000e-08,7.266667e-04
-7.900000e-08,2.866667e-04
-7.850000e-08,1.720000e-03
-7.800000e-08,-8.200000e-04
-7.750000e-08,-1.153333e-03
-7.700000e-08,-7.133333e-04
-7.650000e-08,-4.933333e-04
-7.600000e-08,-8.200000e-04
-7.550000e-08,-1.153333e-03
-7.500000e-08,-1.486667e-03
-7.450000e-08,5.066667e-04
-7.400000e-08,-1.600000e-04
-7.350000e-08,-3.800000e-04
-7.300000e-08,6.000000e-05
-7.250000e-08,1.393333e-03
-7.200000e-08,1.613333e-03
-7.150000e-08,8.400000e-04
-7.100000e-08,1.393333e-03
-7.050000e-08,1.393333e-03
-7.000000e-08,1.280000e-03
-6.950000e-08,-6.000000e-04
-6.900000e-08,7.266667e-04
-6.850000e-08,6.133333e-04
-6.800000e-08,-8.200000e-04
-6.750000e-08,-1.706667e-03
-6.700000e-08,-1.266667e-03
-6.650000e-08,-7.133333e-04
-6.600000e-08,-9.333334e-04
-6.550000e-08,-1.486667e-03
-6.500000e-08,-1.600000e-04
-6.450000e-08,-6.000000e-04
-6.400000e-08,2.866667e-04
-6.350000e-08,5.066667e-04
-6.300000e-08,3.933333e-04
-6.250000e-08,1.166667e-03
-6.200000e-08,2.053333e-03
-6.150000e-08,1.733333e-04
-6.100000e-08,1.393333e-03
-6.050000e-08,1.733333e-04
-6.000000e-08,3.933333e-04
-5.950000e-08,-4.666667e-05
-5.900000e-08,-6.000000e-04
-5.850000e-08,2.866667e-04
-5.800000e-08,-1.046667e-03
-5.750000e-08,-1.706667e-03
-5.700000e-08,-9.333334e-04
-5.650000e-08,-1.706667e-03
-5.600000e-08,-4.933333e-04
-5.550000e-08,1.733333e-04
-5.500000e-08,-1.266667e-03
-5.450000e-08,2.866667e-04
-5.400000e-08,8.400000e-04
-5.350000e-08,6.000000e-05
-5.300000e-08,7.266667e-04
-5.250000e-08,1.060000e-03
-5.200000e-08,1.833333e-03
-5.150000e-08,2.866667e-04
-5.100000e-08,1.393333e-03
-5.050000e-08,1.613333e-03
-5.000000e-08,8.400000e-04
-4.950000e-08,-1.600000e-04
-4.900000e-08,-7.133333e-04
-4.850000e-08,-4.933333e-04
-4.800000e-08,-3.800000e-04
-4.750000e-08,-1.486667e-03
-4.700000e-08,-2.666667e-04
-4.650000e-08,-9.333334e-04
-4.600000e-08,-1.600000e-04
-4.550000e-08,-1.153333e-03
-4.500000e-08,-4.666667e-05
-4.450000e-08,-1.600000e-04
-4.400000e-08,6.133333e-04
-4.350000e-08,-4.666667e-05
-4.300000e-08,-8.200000e-04
-4.250000e-08,1.500000e-03
-4.200000e-08,-2.666667e-04
-4.150000e-08,2.866667e-04
-4.100000e-08,3.933333e-04
-4.050000e-08,-4.933333e-04
-4.000000e-08,7.266667e-04
-3.950000e-08,-6.000000e-04
-3.900000e-08,9.466666e-04
-3.850000e-08,9.466666e-04
-3.800000e-08,-8.200000e-04
-3.750000e-08,-1.373333e-03
-3.700000e-08,-4.933333e-04
-3.650000e-08,-4.933333e-04
-3.600000e-08,2.866667e-04
-3.550000e-08,-9.333334e-04
-3.500000e-08,-7.133333e-04
-3.450000e-08,1.060000e-03
-3.400000e-08,6.000000e-05
-3.350000e-08,-1.600000e-04
-3.300000e-08,8.400000e-04
-3.250000e-08,3.933333e-04
-3.200000e-08,8.400000e-04
-3.150000e-08,-3.800000e-04
-3.100000e-08,8.400000e-04
-3.050000e-08,8.400000e-04
-3.000000e-08,6.000000e-05
-2.950000e-08,-8.200000e-04
-2.900000e-08,-4.666667e-05
-2.850000e-08,-1.046667e-03
-2.800000e-08,-2.666667e-04
-2.750000e-08,-7.133333e-04
-2.700000e-08,-7.133333e-04
-2.650000e-08,7.266667e-04
-2.600000e-08,-8.200000e-04
-2.550000e-08,-4.933333e-04
-2.500000e-08,1.733333e-04
-2.450000e-08,-4.933333e-04
-2.400000e-08,8.400000e-04
-2.350000e-08,-4.666667e-05
-2.300000e-08,5.066667e-04
-2.250000e-08,1.280000e-03
-2.200000e-08,6.000000e-05
-2.150000e-08,2.866667e-04
-2.100000e-08,-8.200000e-04
-2.050000e-08,1.733333e-04
-2.000000e-08,-2.666667e-04
-1.950000e-08,-8.200000e-04
-1.900000e-08,-4.933333e-04
-1.850000e-08,6.000000e-05
-1.800000e-08,5.066667e-04
-1.750000e-08,-3.800000e-04
-1.700000e-08,-1.600000e-04
-1.650000e-08,-1.046667e-03
-1.600000e-08,1.733333e-04
-1.550000e-08,-9.333334e-04
-1.500000e-08,7.266667e-04
-1.450000e-08,5.066667e-04
-1.400000e-08,8.400000e-04
-1.350000e-08,-7.133333e-04
-1.300000e-08,-3.800000e-04
-1.250000e-08,-2.666667e-04
-1.200000e-08,5.066667e-04
-1.150000e-08,7.266667e-04
-1.100000e-08,2.866667e-04
-1.050000e-08,7.266667e-04
-1.000000e-08,1.733333e-04
-9.500000e-09,-1.600000e-04
-9.000000e-09,-3.800000e-04
-8.500000e-09,2.866667e-04
-8.000000e-09,-3.800000e-04
-7.500000e-09,-1.486667e-03
-7.000000e-09,-1.600000e-04
-6.500000e-09,-4.666667e-05
-6.000000e-09,6.000000e-05
-5.500000e-09,-4.933333e-04
-5.000000e-09,3.933333e-04
