Time(s),CH1V,CH2V,CH3V
-2.900000e-07,5.266667e-03,6.213333e-03,5.173333e-03
-2.895000e-07,4.413333e-03,5.973333e-03,8.853333e-03
-2.890000e-07,4.000000e-03,7.160000e-03,6.666667e-03
-2.885000e-07,4.440000e-03,8.200000e-03,8.000000e-04
-2.880000e-07,5.093333e-03,8.640000e-03,-3.120000e-03
-2.875000e-07,5.453333e-03,9.386667e-03,-3.600000e-03
-2.870000e-07,5.506667e-03,9.853333e-03,-3.520000e-03
-2.865000e-07,5.266667e-03,8.466667e-03,-3.066667e-03
-2.860000e-07,4.706667e-03,5.746667e-03,6.666667e-04
-2.855000e-07,4.266667e-03,4.173333e-03,5.866667e-03
-2.850000e-07,4.560000e-03,4.493333e-03,6.906667e-03
-2.845000e-07,5.186667e-03,5.333333e-03,3.226667e-03
-2.840000e-07,5.093333e-03,6.040000e-03,-2.933333e-04
-2.835000e-07,4.440000e-03,7.306667e-03,-6.933333e-04
-2.830000e-07,4.440000e-03,8.613333e-03,4.000000e-04
-2.825000e-07,4.973333e-03,8.373333e-03,2.133333e-03
-2.820000e-07,4.800000e-03,6.893334e-03,4.880000e-03
-2.815000e-07,3.880000e-03,6.186666e-03,6.906667e-03
-2.810000e-07,3.613333e-03,6.720000e-03,5.360000e-03
-2.805000e-07,4.146667e-03,7.280000e-03,2.666667e-04
-2.800000e-07,4.293333e-03,7.520000e-03,-4.853333e-03
-2.795000e-07,4.000000e-03,8.200000e-03,-6.186666e-03
-2.790000e-07,4.413333e-03,8.880000e-03,-2.480000e-03
-2.785000e-07,5.533333e-03,8.133333e-03,2.986667e-03
-2.780000e-07,6.160000e-03,6.213333e-03,5.466667e-03
-2.775000e-07,5.826666e-03,4.973333e-03,3.920000e-03
-2.770000e-07,5.213333e-03,5.093333e-03,1.440000e-03
-2.765000e-07,4.773333e-03,5.773333e-03,1.200000e-03
-2.760000e-07,4.320000e-03,6.746667e-03,3.226667e-03
-2.755000e-07,4.146667e-03,8.466667e-03,4.773333e-03
-2.750000e-07,4.653333e-03,9.920000e-03,3.226667e-03
-2.745000e-07,5.266667e-03,9.266667e-03,9.600000e-04
-2.740000e-07,4.973333e-03,6.920000e-03,2.533333e-03
-2.735000e-07,4.093333e-03,5.240000e-03,6.400000e-03
-2.730000e-07,3.880000e-03,5.026666e-03,6.266667e-03
-2.725000e-07,4.613333e-03,5.266667e-03,1.306667e-03
-2.720000e-07,5.293333e-03,5.506667e-03,-2.666667e-03
-2.715000e-07,5.480000e-03,6.453333e-03,-2.373333e-03
-2.710000e-07,5.533333e-03,7.493333e-03,2.133333e-04
-2.705000e-07,5.626667e-03,7.160000e-03,3.626667e-03
-2.700000e-07,5.213333e-03,5.826666e-03,7.893333e-03
-2.695000e-07,4.320000e-03,5.360000e-03,1.002667e-02
-2.690000e-07,3.466667e-03,6.013333e-03,6.400000e-03
-2.685000e-07,3.106667e-03,6.506667e-03,-3.466667e-04
-2.680000e-07,3.293333e-03,6.720000e-03,-3.173333e-03
-2.675000e-07,4.120000e-03,7.640000e-03,-6.400000e-04
-2.670000e-07,5.506667e-03,8.640000e-03,2.400000e-03
-2.665000e-07,6.400000e-03,7.760000e-03,3.280000e-03
-2.660000e-07,5.600000e-03,5.266667e-03,3.680000e-03
-2.655000e-07,4.000000e-03,3.666667e-03,3.573333e-03
-2.650000e-07,3.706667e-03,4.053333e-03,8.533333e-04
-2.645000e-07,4.773333e-03,5.413333e-03,-1.733333e-03
-2.640000e-07,5.453333e-03,6.960000e-03,8.000000e-04
-2.635000e-07,5.146666e-03,8.586667e-03,5.360000e-03
-2.630000e-07,5.093333e-03,9.560000e-03,4.186667e-03
-2.625000e-07,5.480000e-03,8.853333e-03,-1.226667e-03
-2.620000e-07,5.293333e-03,6.840000e-03,-1.920000e-03
-2.615000e-07,4.560000e-03,5.240000e-03,3.226667e-03
-2.610000e-07,4.320000e-03,4.946667e-03,5.813333e-03
-2.605000e-07,4.920000e-03,5.533333e-03,2.800000e-03
-2.600000e-07,5.506667e-03,6.480000e-03,-8.800000e-04
-2.595000e-07,5.480000e-03,7.640000e-03,-1.173333e-03
-2.590000e-07,5.000000e-03,8.133333e-03,9.066667e-04
-2.585000e-07,4.506667e-03,7.013333e-03,3.146667e-03
-2.580000e-07,4.200000e-03,5.093333e-03,4.266667e-03
-2.575000e-07,4.120000e-03,4.266667e-03,3.733333e-03
-2.570000e-07,4.026667e-03,4.946667e-03,1.946667e-03
-2.565000e-07,3.880000e-03,5.800000e-03,-4.800000e-04
-2.560000e-07,3.826667e-03,6.506667e-03,-2.666667e-03
-2.555000e-07,3.973333e-03,7.760000e-03,-3.466667e-03
-2.550000e-07,4.240000e-03,8.826667e-03,-1.973333e-03
-2.545000e-07,4.466667e-03,8.053333e-03,1.653333e-03
-2.540000e-07,4.586667e-03,5.746667e-03,5.920000e-03
-2.535000e-07,4.680000e-03,4.026667e-03,7.360000e-03
-2.530000e-07,4.946667e-03,3.813333e-03,3.920000e-03
-2.525000e-07,5.146666e-03,4.226667e-03,-6.400000e-04
-2.520000e-07,4.773333e-03,5.066667e-03,-1.333333e-04
-2.515000e-07,4.506667e-03,6.920000e-03,4.373333e-03
-2.510000e-07,5.386667e-03,8.760000e-03,5.760000e-03
-2.505000e-07,6.626667e-03,8.520000e-03,3.280000e-03
-2.500000e-07,6.160000e-03,6.426667e-03,2.880000e-03
-2.495000e-07,4.293333e-03,4.760000e-03,6.320000e-03
-2.490000e-07,3.400000e-03,4.640000e-03,8.853333e-03
-2.485000e-07,4.146667e-03,5.293333e-03,7.253333e-03
-2.480000e-07,4.773333e-03,6.186666e-03,3.040000e-03
-2.475000e-07,4.946667e-03,7.546667e-03,-6.400000e-04
-2.470000e-07,5.826666e-03,8.466667e-03,-1.866667e-03
-2.465000e-07,6.933333e-03,7.520000e-03,-2.933333e-04
-2.460000e-07,6.360000e-03,5.413333e-03,2.533333e-03
-2.455000e-07,4.506667e-03,4.493333e-03,4.133333e-03
-2.450000e-07,3.666667e-03,5.213333e-03,2.986667e-03
-2.445000e-07,4.173333e-03,5.946666e-03,1.066667e-04
-2.440000e-07,4.173333e-03,6.480000e-03,-1.973333e-03
-2.435000e-07,3.666667e-03,7.960000e-03,-1.466667e-03
-2.430000e-07,4.440000e-03,9.706667e-03,1.306667e-03
-2.425000e-07,5.893333e-03,9.440000e-03,5.013333e-03
-2.420000e-07,5.386667e-03,7.186667e-03,7.893333e-03
-2.415000e-07,3.173333e-03,5.386667e-03,7.413333e-03
-2.410000e-07,2.280000e-03,4.973333e-03,2.186667e-03
-2.405000e-07,3.320000e-03,4.853333e-03,-3.760000e-03
-2.400000e-07,4.093333e-03,4.973333e-03,-4.346667e-03
-2.395000e-07,4.093333e-03,6.186666e-03,-1.040000e-03
-2.390000e-07,4.880000e-03,7.866667e-03,-7.733333e-04
-2.385000e-07,6.240000e-03,8.133333e-03,-2.906667e-03
-2.380000e-07,6.133333e-03,6.920000e-03,-5.866667e-04
-2.375000e-07,4.613333e-03,6.093333e-03,5.013333e-03
-2.370000e-07,3.973333e-03,6.546667e-03,5.360000e-03
-2.365000e-07,4.560000e-03,7.613333e-03,-4.266667e-04
-2.360000e-07,4.733333e-03,8.466667e-03,-4.160000e-03
-2.355000e-07,4.293333e-03,8.880000e-03,-2.213333e-03
-2.350000e-07,4.613333e-03,8.666666e-03,1.360000e-03
-2.345000e-07,5.480000e-03,7.666667e-03,2.746667e-03
-2.340000e-07,5.093333e-03,6.360000e-03,1.946667e-03
-2.335000e-07,3.853333e-03,5.626667e-03,6.666667e-04
