Time(s),CH1V,CH2V,CH3V,CH4V
-2.500000e-07,2.013333e-02,4.320000e-02,-6.026667e-03,1.473333e-03
-2.495000e-07,1.500000e-02,3.706667e-02,-1.080000e-02,1.326667e-03
-2.490000e-07,1.346667e-02,2.326667e-02,-4.693334e-03,1.200000e-03
-2.485000e-07,1.833333e-02,1.660000e-02,7.306667e-03,7.800000e-04
-2.480000e-07,2.260000e-02,2.080000e-02,7.520000e-03,2.933333e-04
-2.475000e-07,2.066667e-02,2.646667e-02,-3.600000e-03,3.333333e-04
-2.470000e-07,1.433333e-02,3.080000e-02,-8.026667e-03,8.400000e-04
-2.465000e-07,1.026667e-02,3.800000e-02,-1.706667e-03,1.100000e-03
-2.460000e-07,1.386667e-02,4.346667e-02,2.053333e-03,8.533333e-04
-2.455000e-07,2.166667e-02,3.633333e-02,-1.120000e-03,5.533333e-04
-2.450000e-07,2.513333e-02,2.120000e-02,-2.213333e-03,2.933333e-04
-2.445000e-07,2.106667e-02,1.480000e-02,2.000000e-03,-9.333334e-05
-2.440000e-07,1.473333e-02,2.053333e-02,4.826667e-03,-3.133333e-04
-2.435000e-07,1.140000e-02,2.606667e-02,2.453333e-03,3.200000e-04
-2.430000e-07,1.140000e-02,2.660000e-02,-1.813333e-03,1.600000e-03
-2.425000e-07,1.280000e-02,2.900000e-02,-4.640000e-03,2.566667e-03
-2.420000e-07,1.346667e-02,3.440000e-02,-5.200000e-03,2.553333e-03
-2.415000e-07,1.433333e-02,3.606667e-02,-3.306667e-03,1.673333e-03
-2.410000e-07,1.720000e-02,2.953333e-02,4.266667e-04,4.533333e-04
-2.405000e-07,1.973333e-02,1.826667e-02,2.906667e-03,-5.400000e-04
-2.400000e-07,1.653333e-02,1.120000e-02,1.306667e-03,-8.000000e-04
-2.395000e-07,1.180000e-02,1.506667e-02,-1.920000e-03,-1.533333e-04
-2.390000e-07,1.500000e-02,2.606667e-02,-1.866667e-03,1.026667e-03
-2.385000e-07,2.286667e-02,3.286667e-02,7.733333e-04,2.066667e-03
-2.380000e-07,2.286667e-02,3.106667e-02,5.600000e-04,2.206667e-03
-2.375000e-07,1.500000e-02,2.580000e-02,-2.160000e-03,1.240000e-03
-2.370000e-07,1.166667e-02,2.300000e-02,-1.466667e-03,-6.666667e-05
-2.365000e-07,1.433333e-02,2.326667e-02,2.453333e-03,-5.600000e-04
-2.360000e-07,1.253333e-02,2.413333e-02,3.253333e-03,-8.000000e-05
-2.355000e-07,5.866667e-03,2.373333e-02,-8.000000e-05,4.533333e-04
-2.350000e-07,5.466667e-03,2.580000e-02,-2.160000e-03,6.400000e-04
-2.345000e-07,1.140000e-02,3.466667e-02,-1.973333e-03,7.800000e-04
-2.340000e-07,1.333333e-02,4.273333e-02,-3.493333e-03,9.533333e-04
-2.335000e-07,1.086667e-02,3.633333e-02,-4.586667e-03,7.666667e-04
-2.330000e-07,1.333333e-02,1.926667e-02,4.266667e-04,3.933333e-04
-2.325000e-07,1.986667e-02,1.006667e-02,7.866667e-03,4.666667e-04
-2.320000e-07,1.960000e-02,1.400000e-02,7.520000e-03,9.533333e-04
-2.315000e-07,1.140000e-02,1.953333e-02,-1.066667e-03,1.260000e-03
-2.310000e-07,6.133333e-03,2.193333e-02,-7.680000e-03,1.300000e-03
