Time(s),CH1V,CH2V,CH3V
-2.900000e-07,4.800000e-03,6.866666e-03,-3.813333e-03
-2.895000e-07,5.746667e-03,7.520000e-03,3.786667e-03
-2.890000e-07,5.946666e-03,8.666666e-03,7.146667e-03
-2.885000e-07,5.266667e-03,8.853333e-03,2.586667e-03
-2.880000e-07,4.386667e-03,7.426667e-03,-6.400000e-04
-2.875000e-07,4.120000e-03,5.266667e-03,2.133333e-03
-2.870000e-07,4.680000e-03,3.840000e-03,5.973333e-03
-2.865000e-07,5.413333e-03,4.146667e-03,5.920000e-03
-2.860000e-07,5.360000e-03,5.946666e-03,2.133333e-03
-2.855000e-07,4.946667e-03,8.053333e-03,-2.426667e-03
-2.850000e-07,5.360000e-03,9.093333e-03,-4.506667e-03
-2.845000e-07,6.066666e-03,8.466667e-03,-2.426667e-03
-2.840000e-07,5.453333e-03,6.773334e-03,2.133333e-03
-2.835000e-07,3.826667e-03,5.146666e-03,5.706667e-03
-2.830000e-07,3.373333e-03,4.440000e-03,5.706667e-03
-2.825000e-07,4.346667e-03,4.706667e-03,2.586667e-03
-2.820000e-07,4.946667e-03,5.800000e-03,-8.800000e-04
-2.815000e-07,4.533333e-03,7.400000e-03,-1.680000e-03
-2.810000e-07,4.293333e-03,8.400000e-03,9.066667e-04
-2.805000e-07,4.880000e-03,7.666667e-03,5.013333e-03
-2.800000e-07,5.533333e-03,6.066666e-03,7.600000e-03
-2.795000e-07,5.533333e-03,5.653333e-03,5.973333e-03
-2.790000e-07,4.853333e-03,6.506667e-03,1.600000e-04
-2.785000e-07,3.933333e-03,6.893334e-03,-5.440000e-03
-2.780000e-07,3.466667e-03,6.773334e-03,-5.493333e-03
-2.775000e-07,3.733333e-03,7.693333e-03,-1.973333e-03
-2.770000e-07,4.466667e-03,9.026667e-03,-1.626667e-03
-2.765000e-07,5.213333e-03,8.200000e-03,-3.813333e-03
-2.760000e-07,5.720000e-03,5.560000e-03,-1.573333e-03
-2.755000e-07,5.826666e-03,3.933333e-03,4.026667e-03
-2.750000e-07,5.560000e-03,4.413333e-03,4.586667e-03
-2.745000e-07,5.266667e-03,5.386667e-03,1.066667e-04
-2.740000e-07,5.360000e-03,5.973333e-03,-8.266667e-04
-2.735000e-07,5.653333e-03,6.866666e-03,2.746667e-03
-2.730000e-07,5.653333e-03,8.200000e-03,3.626667e-03
-2.725000e-07,5.040000e-03,9.026667e-03,2.133333e-04
-2.720000e-07,4.026667e-03,8.760000e-03,-1.466667e-03
-2.715000e-07,3.253333e-03,7.613333e-03,8.000000e-04
-2.710000e-07,3.226667e-03,6.333333e-03,2.640000e-03
-2.705000e-07,3.880000e-03,5.680000e-03,1.493333e-03
-2.700000e-07,4.706667e-03,6.306667e-03,-1.173333e-03
-2.695000e-07,5.186667e-03,7.933334e-03,-3.520000e-03
-2.690000e-07,5.266667e-03,9.000000e-03,-4.906666e-03
-2.685000e-07,5.333333e-03,7.866667e-03,-3.920000e-03
-2.680000e-07,5.720000e-03,5.506667e-03,3.200000e-04
-2.675000e-07,5.826666e-03,4.466667e-03,3.786667e-03
-2.670000e-07,4.880000e-03,5.333333e-03,1.440000e-03
-2.665000e-07,3.373333e-03,6.280000e-03,-3.866667e-03
-2.660000e-07,2.813333e-03,6.813333e-03,-3.920000e-03
-2.655000e-07,3.560000e-03,8.026667e-03,9.066667e-04
-2.650000e-07,4.506667e-03,9.386667e-03,2.640000e-03
-2.645000e-07,4.586667e-03,8.880000e-03,1.306667e-03
-2.640000e-07,3.933333e-03,6.653334e-03,4.426667e-03
-2.635000e-07,3.466667e-03,5.026666e-03,1.024000e-02
-2.630000e-07,4.053333e-03,5.066667e-03,8.800000e-03
-2.625000e-07,5.293333e-03,5.826666e-03,8.000000e-04
-2.620000e-07,5.893333e-03,6.960000e-03,-2.773333e-03
-2.615000e-07,5.626667e-03,8.706667e-03,9.066667e-04
-2.610000e-07,5.506667e-03,1.004000e-02,3.920000e-03
-2.605000e-07,5.533333e-03,9.200000e-03,2.800000e-03
-2.600000e-07,4.706667e-03,7.040000e-03,1.893333e-03
-2.595000e-07,3.400000e-03,6.213333e-03,3.440000e-03
-2.590000e-07,3.253333e-03,7.106666e-03,4.773333e-03
-2.585000e-07,4.200000e-03,7.720000e-03,3.493333e-03
-2.580000e-07,4.586667e-03,7.520000e-03,3.200000e-04
-2.575000e-07,4.173333e-03,7.786667e-03,-3.120000e-03
-2.570000e-07,4.200000e-03,8.373333e-03,-5.146666e-03
-2.565000e-07,4.773333e-03,7.666667e-03,-4.000000e-03
-2.560000e-07,4.506667e-03,5.853334e-03,3.200000e-04
-2.555000e-07,3.373333e-03,4.906666e-03,4.133333e-03
-2.550000e-07,2.693333e-03,5.440000e-03,3.226667e-03
-2.545000e-07,3.146667e-03,6.240000e-03,-8.800000e-04
-2.540000e-07,4.093333e-03,7.080000e-03,-2.213333e-03
-2.535000e-07,4.920000e-03,8.666666e-03,-1.333333e-04
-2.530000e-07,5.533333e-03,9.920000e-03,7.466667e-04
-2.525000e-07,5.560000e-03,8.706667e-03,-1.333333e-04
-2.520000e-07,4.800000e-03,5.893333e-03,1.493333e-03
-2.515000e-07,4.026667e-03,4.613333e-03,5.413333e-03
-2.510000e-07,4.506667e-03,5.333333e-03,6.720000e-03
-2.505000e-07,5.720000e-03,5.653333e-03,3.733333e-03
-2.500000e-07,5.866667e-03,5.480000e-03,-2.933333e-04
-2.495000e-07,5.146666e-03,6.773334e-03,-2.373333e-03
-2.490000e-07,5.266667e-03,8.880000e-03,-2.213333e-03
-2.485000e-07,6.240000e-03,8.706667e-03,1.066667e-04
-2.480000e-07,6.213333e-03,6.360000e-03,4.266667e-03
-2.475000e-07,4.946667e-03,5.093333e-03,7.706667e-03
-2.470000e-07,3.933333e-03,5.973333e-03,7.306667e-03
-2.465000e-07,3.853333e-03,7.013333e-03,4.266667e-03
-2.460000e-07,3.733333e-03,7.453333e-03,2.240000e-03
-2.455000e-07,3.493333e-03,8.253333e-03,1.306667e-03
-2.450000e-07,3.973333e-03,8.973333e-03,-1.573333e-03
-2.445000e-07,4.853333e-03,7.933334e-03,-4.853333e-03
-2.440000e-07,4.920000e-03,5.560000e-03,-3.413333e-03
-2.435000e-07,4.346667e-03,4.346667e-03,1.493333e-03
-2.430000e-07,4.560000e-03,5.146666e-03,3.040000e-03
-2.425000e-07,5.360000e-03,6.600000e-03,4.000000e-04
-2.420000e-07,5.333333e-03,7.720000e-03,-9.333334e-04
-2.415000e-07,4.706667e-03,8.733333e-03,1.600000e-04
-2.410000e-07,5.240000e-03,9.320000e-03,-4.800000e-04
-2.405000e-07,6.280000e-03,8.760000e-03,-1.920000e-03
-2.400000e-07,5.533333e-03,7.400000e-03,7.466667e-04
-2.395000e-07,3.253333e-03,6.480000e-03,4.266667e-03
-2.390000e-07,2.200000e-03,6.453333e-03,2.666667e-04
-2.385000e-07,3.373333e-03,6.746667e-03,-8.773333e-03
-2.380000e-07,5.146666e-03,7.306667e-03,-1.114667e-02
-2.375000e-07,6.186666e-03,8.346667e-03,-4.160000e-03
-2.370000e-07,6.573333e-03,9.000000e-03,3.626667e-03
-2.365000e-07,6.600000e-03,7.960000e-03,6.666667e-03
-2.360000e-07,6.160000e-03,5.853334e-03,7.306667e-03
-2.355000e-07,5.213333e-03,4.973333e-03,6.213333e-03
-2.350000e-07,3.880000e-03,5.773333e-03,1.706667e-03
-2.345000e-07,2.933333e-03,6.840000e-03,-3.013333e-03
-2.340000e-07,3.173333e-03,7.760000e-03,-2.320000e-03
-2.335000e-07,4.266667e-03,9.386667e-03,2.346667e-03
-2.330000e-07,5.120000e-03,1.065333e-02,4.080000e-03
-2.325000e-07,5.093333e-03,9.360000e-03,1.493333e-03
-2.320000e-07,4.440000e-03,6.186666e-03,-2.933333e-04
-2.315000e-07,4.026667e-03,4.346667e-03,4.000000e-04
-2.310000e-07,4.293333e-03,4.853333e-03,3.200000e-04
-2.305000e-07,4.800000e-03,5.853334e-03,-1.386667e-03
-2.300000e-07,4.586667e-03,6.573333e-03,-2.213333e-03
-2.295000e-07,4.293333e-03,7.720000e-03,-8.266667e-04
-2.290000e-07,5.186667e-03,8.786666e-03,1.146667e-03
-2.285000e-07,6.546667e-03,8.173333e-03,2.293333e-03
-2.280000e-07,6.240000e-03,6.653334e-03,2.640000e-03
-2.275000e-07,4.346667e-03,6.600000e-03,2.800000e-03
-2.270000e-07,3.320000e-03,7.906667e-03,3.226667e-03
-2.265000e-07,4.000000e-03,8.106667e-03,3.333333e-03
-2.260000e-07,5.000000e-03,7.080000e-03,2.293333e-03
-2.255000e-07,5.413333e-03,7.013333e-03,5.066667e-04
-2.250000e-07,5.600000e-03,7.813334e-03,-6.933333e-04
-2.245000e-07,5.773333e-03,7.186667e-03,5.333333e-05
-2.240000e-07,5.600000e-03,5.146666e-03,2.453333e-03
-2.235000e-07,5.066667e-03,4.320000e-03,4.426667e-03
