N,t
1,0.70
2,6.40
3,3.42
4,4.52
5,10.52
6,13.12
7,3.22
8,1.92
9,2.94
10,1.16
11,0.70
12,0.98
13,1.16
14,16.44
15,1.92
16,15.22
17,16.66
18,2.18
19,1.06
20,7.18
21,1.64
22,1.36
23,14.92
24,1.76
25,5.16
26,11.34
27,1.72
28,0.16
29,10.22
30,3.12
31,2.02
32,3.08
33,0.54
34,0.98
35,4.68
36,13.54
37,5.64
38,1.04
39,2.40
40,17.28
41,14.76
42,5.60
43,0.72
44,8.30
45,14.32
46,17.86
47,2.72
48,2.22
49,2.96
50,3.06
51,7.52
52,0.50
53,0.80
54,4.58
55,0.98
56,16.68
57,14.4
58,12.98
59,2.66
60,1.62
61,3.12
62,0.52
