Time(s),CH1V,CH2V,CH3V
-1.780000e-06,1.976000e-03,-6.200000e-05,-1.893333e-03
-1.760000e-06,1.997333e-03,-1.193333e-04,-1.893333e-03
-1.740000e-06,1.394667e-03,6.666667e-06,-5.333333e-05
-1.720000e-06,1.286667e-03,8.313333e-04,-8.826667e-03
-1.700000e-06,1.997333e-03,1.666667e-03,-5.120000e-03
-1.680000e-06,8.786666e-04,1.106000e-03,-4.213333e-03
-1.660000e-06,7.493334e-04,-8.466667e-05,-5.600000e-03
-1.640000e-06,1.008000e-03,-1.533333e-04,-1.440000e-03
-1.620000e-06,7.706666e-04,-2.680000e-04,-5.066667e-04
-1.600000e-06,1.394667e-03,1.060000e-03,4.000000e-04
-1.580000e-06,1.502667e-03,1.426667e-03,-8.346667e-03
-1.560000e-06,1.201333e-03,9.913333e-04,-6.053333e-03
-1.540000e-06,1.632000e-03,-1.073333e-04,-7.440000e-03
-1.520000e-06,9.640000e-04,7.533333e-05,-3.280000e-03
-1.500000e-06,9.213333e-04,-1.600000e-05,-3.733333e-03
-1.480000e-06,1.029333e-03,5.566666e-04,-9.866667e-04
-1.460000e-06,1.050667e-03,1.483333e-03,-1.893333e-03
-1.440000e-06,1.825333e-03,1.026000e-03,-6.506667e-03
-1.420000e-06,1.093333e-03,2.473333e-04,-6.053333e-03
-1.400000e-06,1.136000e-03,-2.733333e-05,-5.600000e-03
-1.380000e-06,4.266667e-04,1.440000e-04,-4.666667e-03
-1.360000e-06,1.050667e-03,8.653333e-04,-7.893333e-03
-1.340000e-06,8.573333e-04,1.540667e-03,-2.373333e-03
-1.320000e-06,1.180000e-03,1.186000e-03,-6.506667e-03
-1.300000e-06,1.330667e-03,2.813333e-04,-6.053333e-03
-1.280000e-06,8.786666e-04,-1.073333e-04,-5.333333e-05
-1.260000e-06,5.333333e-04,6.666667e-06,-5.066667e-04
-1.240000e-06,6.840000e-04,4.420000e-04,-1.066667e-02
-1.220000e-06,6.413333e-04,9.913333e-04,-6.960000e-03
-1.200000e-06,1.610667e-03,1.483333e-03,-8.346667e-03
-1.180000e-06,1.545333e-03,5.220000e-04,-2.826667e-03
-1.160000e-06,7.920000e-04,-5.426666e-04,-4.213333e-03
