Time(s),CH1V,CH2V,CH3V
-1.000000e-07,-2.906667e-03,6.293333e-03,-1.045333e-02
-9.980000e-08,-2.960000e-03,5.066667e-03,-1.069333e-02
-9.960000e-08,-2.853333e-03,4.480000e-03,-9.706667e-03
-9.940000e-08,-2.373333e-03,5.013333e-03,-7.786667e-03
-9.920000e-08,-1.680000e-03,6.586667e-03,-5.440000e-03
-9.900000e-08,-9.866667e-04,8.853333e-03,-3.253333e-03
-9.880000e-08,-2.933333e-04,1.117333e-02,-1.866667e-03
-9.860000e-08,2.133333e-04,1.269333e-02,-1.333333e-03
-9.840000e-08,6.400000e-04,1.288000e-02,-1.680000e-03
-9.820000e-08,6.400000e-04,1.165333e-02,-2.426667e-03
-9.800000e-08,2.933333e-04,9.360000e-03,-3.413333e-03
-9.780000e-08,-2.933333e-04,6.800000e-03,-4.213333e-03
-9.760000e-08,-8.266667e-04,4.533333e-03,-4.746667e-03
-9.740000e-08,-9.866667e-04,3.013333e-03,-4.986667e-03
-9.720000e-08,-7.733333e-04,2.560000e-03,-4.986667e-03
-9.700000e-08,0.000000e+00,3.013333e-03,-5.093333e-03
-9.680000e-08,1.093333e-03,4.000000e-03,-5.440000e-03
-9.660000e-08,2.186667e-03,5.120000e-03,-6.000000e-03
-9.640000e-08,3.120000e-03,5.813333e-03,-6.773334e-03
-9.620000e-08,3.413333e-03,6.160000e-03,-7.280000e-03
-9.600000e-08,2.933333e-03,6.293333e-03,-7.520000e-03
-9.580000e-08,1.733333e-03,6.586667e-03,-7.466667e-03
-9.560000e-08,2.133333e-04,7.333333e-03,-7.040000e-03
-9.540000e-08,-1.120000e-03,8.506667e-03,-6.533333e-03
-9.520000e-08,-1.813333e-03,1.000000e-02,-6.080000e-03
-9.500000e-08,-1.626667e-03,1.152000e-02,-6.000000e-03
-9.480000e-08,-5.866667e-04,1.250667e-02,-6.426667e-03
-9.460000e-08,1.146667e-03,1.250667e-02,-7.173333e-03
-9.440000e-08,3.280000e-03,1.122667e-02,-8.026667e-03
-9.420000e-08,5.253333e-03,8.800000e-03,-8.480000e-03
-9.400000e-08,6.640000e-03,5.573333e-03,-8.320000e-03
-9.380000e-08,7.280000e-03,2.506667e-03,-7.466667e-03
-9.360000e-08,7.226666e-03,-8.000000e-05,-6.000000e-03
-9.340000e-08,6.586667e-03,-1.653333e-03,-4.346667e-03
-9.320000e-08,5.653333e-03,-2.053333e-03,-2.853333e-03
-9.300000e-08,4.613333e-03,-1.413333e-03,-2.026667e-03
-9.280000e-08,3.760000e-03,0.000000e+00,-2.213333e-03
-9.260000e-08,3.226667e-03,1.573333e-03,-3.466667e-03
-9.240000e-08,3.280000e-03,2.853333e-03,-5.333333e-03
-9.220000e-08,3.813333e-03,3.840000e-03,-7.280000e-03
-9.200000e-08,4.666667e-03,4.426667e-03,-8.826667e-03
-9.180000e-08,5.653333e-03,5.120000e-03,-9.706667e-03
-9.160000e-08,6.586667e-03,5.920000e-03,-9.706667e-03
-9.140000e-08,7.333333e-03,7.040000e-03,-8.960000e-03
