Time(s),CH1V,CH2V,CH3V
-3.520000e-08,-5.493333e-03,-8.106667e-03,3.152000e-02
-3.515000e-08,-5.440000e-03,-7.760000e-03,3.080000e-02
-3.510000e-08,-5.200000e-03,-7.440000e-03,2.970667e-02
-3.505000e-08,-5.146666e-03,-6.906667e-03,2.824000e-02
-3.500000e-08,-4.960000e-03,-6.373333e-03,2.650667e-02
-3.495000e-08,-4.746667e-03,-5.680000e-03,2.429333e-02
-3.490000e-08,-4.506667e-03,-5.013333e-03,2.189333e-02
-3.485000e-08,-4.320000e-03,-4.293333e-03,1.928000e-02
-3.480000e-08,-4.000000e-03,-3.573333e-03,1.626667e-02
-3.475000e-08,-3.706667e-03,-2.746667e-03,1.312000e-02
-3.470000e-08,-3.280000e-03,-2.080000e-03,9.760000e-03
-3.465000e-08,-2.960000e-03,-1.280000e-03,6.240000e-03
-3.460000e-08,-2.666667e-03,-4.000000e-04,2.533333e-03
-3.455000e-08,-2.293333e-03,2.933333e-04,-1.200000e-03
-3.450000e-08,-1.973333e-03,1.040000e-03,-4.986667e-03
-3.445000e-08,-1.546667e-03,1.733333e-03,-8.746667e-03
-3.440000e-08,-1.226667e-03,2.346667e-03,-1.253333e-02
-3.435000e-08,-9.333334e-04,2.853333e-03,-1.629333e-02
-3.430000e-08,-6.933333e-04,3.413333e-03,-1.986667e-02
-3.425000e-08,-3.733333e-04,3.840000e-03,-2.338667e-02
-3.420000e-08,-2.933333e-04,4.293333e-03,-2.658667e-02
-3.415000e-08,-1.333333e-04,4.586667e-03,-2.962667e-02
-3.410000e-08,8.000000e-05,4.720000e-03,-3.245333e-02
-3.405000e-08,5.333333e-05,4.933333e-03,-3.501333e-02
-3.400000e-08,1.066667e-04,4.960000e-03,-3.717333e-02
-3.395000e-08,2.666667e-05,5.040000e-03,-3.912000e-02
-3.390000e-08,-8.000000e-05,4.986667e-03,-4.064000e-02
-3.385000e-08,-3.733333e-04,4.853333e-03,-4.165333e-02
-3.380000e-08,-5.866667e-04,4.613333e-03,-4.245333e-02
-3.375000e-08,-9.600000e-04,4.453333e-03,-4.272000e-02
-3.370000e-08,-1.226667e-03,4.053333e-03,-4.258667e-02
-3.365000e-08,-1.680000e-03,3.760000e-03,-4.205333e-02
