Time(s),CH1V,CH2V,CH3V
-6.020000e-08,-3.733333e-03,3.066667e-03,-1.938667e-02
-6.010000e-08,-4.080000e-03,3.120000e-03,-2.525333e-02
-6.000000e-08,-4.560000e-03,2.960000e-03,-2.994667e-02
-5.990000e-08,-4.906666e-03,2.853333e-03,-3.346667e-02
-5.980000e-08,-5.386667e-03,2.453333e-03,-3.570667e-02
-5.970000e-08,-5.626667e-03,2.160000e-03,-3.640000e-02
-5.960000e-08,-5.786667e-03,1.653333e-03,-3.581333e-02
-5.950000e-08,-5.840000e-03,1.013333e-03,-3.370667e-02
-5.940000e-08,-5.626667e-03,4.800000e-04,-3.032000e-02
-5.930000e-08,-5.413333e-03,-2.400000e-04,-2.576000e-02
-5.920000e-08,-4.880000e-03,-8.266667e-04,-2.008000e-02
-5.910000e-08,-4.293333e-03,-1.440000e-03,-1.373333e-02
-5.900000e-08,-3.706667e-03,-2.106667e-03,-6.693333e-03
-5.890000e-08,-2.906667e-03,-2.533333e-03,5.600000e-04
-5.880000e-08,-2.240000e-03,-3.066667e-03,7.786667e-03
-5.870000e-08,-1.493333e-03,-3.386667e-03,1.485333e-02
-5.860000e-08,-8.533333e-04,-3.680000e-03,2.128000e-02
-5.850000e-08,-3.466667e-04,-4.000000e-03,2.701333e-02
-5.840000e-08,1.333333e-04,-4.026667e-03,3.173333e-02
-5.830000e-08,2.666667e-04,-4.133333e-03,3.520000e-02
-5.820000e-08,3.733333e-04,-4.053333e-03,3.741333e-02
-5.810000e-08,2.133333e-04,-3.920000e-03,3.805333e-02
-5.800000e-08,-2.666667e-04,-3.733333e-03,3.730667e-02
-5.790000e-08,-7.733333e-04,-3.386667e-03,3.506667e-02
-5.780000e-08,-1.680000e-03,-3.146667e-03,3.133333e-02
-5.770000e-08,-2.640000e-03,-2.773333e-03,2.642667e-02
-5.760000e-08,-3.760000e-03,-2.426667e-03,2.032000e-02
-5.750000e-08,-5.013333e-03,-2.186667e-03,1.341333e-02
-5.740000e-08,-6.186666e-03,-1.813333e-03,5.866667e-03
-5.730000e-08,-7.493333e-03,-1.626667e-03,-2.026667e-03
-5.720000e-08,-8.506667e-03,-1.360000e-03,-9.840000e-03
-5.710000e-08,-9.413334e-03,-1.173333e-03,-1.738667e-02
-5.700000e-08,-1.018667e-02,-1.066667e-03,-2.416000e-02
-5.690000e-08,-1.050667e-02,-8.000000e-04,-3.000000e-02
-5.680000e-08,-1.064000e-02,-7.200000e-04,-3.469333e-02
-5.670000e-08,-1.032000e-02,-4.266667e-04,-3.781333e-02
-5.660000e-08,-9.706667e-03,-1.333333e-04,-3.944000e-02
-5.650000e-08,-8.800000e-03,1.600000e-04,-3.930667e-02
-5.640000e-08,-7.546667e-03,7.200000e-04,-3.752000e-02
-5.630000e-08,-6.293333e-03,1.280000e-03,-3.416000e-02
-5.620000e-08,-4.773333e-03,2.053333e-03,-2.925333e-02
-5.610000e-08,-3.386667e-03,2.880000e-03,-2.322667e-02
-5.600000e-08,-2.133333e-03,3.760000e-03,-1.616000e-02
-5.590000e-08,-9.600000e-04,4.746667e-03,-8.453334e-03
