Time(s),CH1V,CH2V,CH3V,CH4V
-5.000000e-07,7.733333e-05,1.101333e-03,2.880000e-04,1.273333e-03
-4.990000e-07,-8.133333e-05,4.186667e-04,1.400000e-04,8.133333e-04
-4.980000e-07,-7.000000e-05,4.613333e-04,-7.333333e-06,2.333333e-04
-4.970000e-07,1.226667e-04,7.813333e-04,-2.006667e-04,8.133333e-04
-4.960000e-07,3.493333e-04,4.186667e-04,-1.326667e-04,1.620000e-03
-4.950000e-07,3.606667e-04,3.333333e-04,-4.133333e-05,-1.133333e-04
-4.940000e-07,2.700000e-04,7.733333e-05,-7.600000e-05,-9.200000e-04
-4.930000e-07,4.513333e-04,8.240000e-04,2.313333e-04,1.620000e-03
-4.920000e-07,7.733333e-05,9.306667e-04,3.446667e-04,1.273333e-03
-4.910000e-07,6.600000e-05,7.386667e-04,2.200000e-04,5.800000e-04
-4.900000e-07,6.600000e-05,2.053333e-04,3.106667e-04,4.666667e-04
-4.890000e-07,9.333333e-06,5.680000e-04,-5.266667e-05,2.426667e-03
-4.880000e-07,2.586667e-04,7.386667e-04,-2.346667e-04,1.620000e-03
-4.870000e-07,4.286667e-04,4.400000e-04,-2.686667e-04,-2.266667e-04
-4.860000e-07,3.380000e-04,1.272000e-03,-3.000000e-05,2.333333e-04
-4.850000e-07,5.420000e-04,8.666667e-04,-8.733333e-05,1.386667e-03
-4.840000e-07,2.360000e-04,8.453333e-04,1.740000e-04,1.386667e-03
-4.830000e-07,1.793333e-04,7.173333e-04,1.513333e-04,-6.866666e-04
-4.820000e-07,1.226667e-04,6.320000e-04,4.586667e-04,2.333333e-04
-4.810000e-07,-8.133333e-05,5.040000e-04,7.200000e-05,1.960000e-03
-4.800000e-07,-2.466667e-05,2.480000e-04,1.513333e-04,1.846667e-03
-4.790000e-07,5.466667e-05,8.240000e-04,-4.133333e-05,5.800000e-04
-4.780000e-07,2.586667e-04,3.973333e-04,-4.133333e-05,2.333333e-04
-4.770000e-07,4.513333e-04,9.520000e-04,-3.486667e-04,6.933333e-04
-4.760000e-07,5.760000e-04,8.240000e-04,-9.866666e-05,9.266667e-04
-4.750000e-07,2.926667e-04,-1.786667e-04,-5.266667e-05,-2.266667e-04
-4.740000e-07,1.906667e-04,6.746667e-04,2.313333e-04,-3.400000e-04
-4.730000e-07,8.866667e-05,6.533333e-04,3.446667e-04,1.040000e-03
-4.720000e-07,1.113333e-04,9.520000e-04,4.926667e-04,-4.533333e-04
-4.710000e-07,8.866667e-05,3.466667e-05,1.973333e-04,-2.186667e-03
-4.700000e-07,-2.466667e-05,5.040000e-04,1.400000e-04,-1.033333e-03
-4.690000e-07,3.833333e-04,6.106666e-04,-1.100000e-04,-5.733334e-04
-4.680000e-07,4.513333e-04,6.106666e-04,-1.100000e-04,1.846667e-03
-4.670000e-07,3.493333e-04,5.040000e-04,-2.120000e-04,-1.380000e-03
-4.660000e-07,3.153333e-04,3.973333e-04,1.533333e-05,-4.533333e-04
-4.650000e-07,4.333333e-05,4.826667e-04,1.533333e-05,1.386667e-03
-4.640000e-07,1.793333e-04,5.253333e-04,1.973333e-04,2.080000e-03
-4.630000e-07,-2.173333e-04,1.016000e-03,3.560000e-04,-5.733334e-04
-4.620000e-07,-1.333333e-05,3.546667e-04,2.540000e-04,-2.266667e-04
-4.610000e-07,1.000000e-04,9.306667e-04,-1.100000e-04,1.620000e-03
-4.600000e-07,2.360000e-04,8.453333e-04,-1.440000e-04,1.620000e-03
-4.590000e-07,3.493333e-04,8.026666e-04,-1.100000e-04,8.133333e-04
-4.580000e-07,3.493333e-04,4.613333e-04,-1.866667e-05,3.466667e-04
-4.570000e-07,4.286667e-04,6.320000e-04,-7.600000e-05,8.133333e-04
-4.560000e-07,2.133333e-04,4.186667e-04,-3.000000e-05,2.540000e-03
-4.550000e-07,8.866667e-05,1.413333e-04,2.086667e-04,5.800000e-04
-4.540000e-07,-4.733333e-05,1.200000e-04,4.473333e-04,3.466667e-04
-4.530000e-07,4.333333e-05,7.386667e-04,2.666667e-05,1.273333e-03
-4.520000e-07,6.600000e-05,6.960000e-04,1.740000e-04,1.620000e-03
-4.510000e-07,2.020000e-04,3.120000e-04,-3.000000e-05,1.200000e-04
-4.500000e-07,1.453333e-04,2.906667e-04,-5.266667e-05,1.040000e-03
-4.490000e-07,4.626667e-04,6.960000e-04,-3.600000e-04,1.040000e-03
-4.480000e-07,3.720000e-04,4.826667e-04,-3.826667e-04,1.273333e-03
-4.470000e-07,3.266667e-04,1.840000e-04,-4.133333e-05,2.333333e-04
-4.460000e-07,-8.133333e-05,1.626667e-04,2.766667e-04,1.200000e-04
-4.450000e-07,9.333333e-06,-1.360000e-04,-1.213333e-04,2.193333e-03
-4.440000e-07,-3.600000e-05,-4.986667e-04,3.800000e-05,9.266667e-04
-4.430000e-07,-4.733333e-05,-8.613333e-04,2.653333e-04,6.666667e-06
-4.420000e-07,3.200000e-05,-1.032000e-03,2.540000e-04,-2.266667e-04
-4.410000e-07,4.853333e-04,1.413333e-04,-7.600000e-05,1.386667e-03
-4.400000e-07,7.346667e-04,1.840000e-04,-5.266667e-05,1.386667e-03
-4.390000e-07,5.760000e-04,-8.186667e-04,-7.600000e-05,1.040000e-03
-4.380000e-07,4.060000e-04,-2.640000e-04,2.086667e-04,3.466667e-04
-4.370000e-07,2.586667e-04,1.413333e-04,-7.600000e-05,1.620000e-03
-4.360000e-07,-7.000000e-05,1.413333e-04,2.880000e-04,1.960000e-03
-4.350000e-07,-4.733333e-05,7.733333e-05,1.513333e-04,2.333333e-04
-4.340000e-07,-2.286667e-04,5.893334e-04,3.446667e-04,3.466667e-04
-4.330000e-07,2.133333e-04,6.106666e-04,3.800000e-05,8.133333e-04
-4.320000e-07,3.380000e-04,6.960000e-04,-6.466667e-05,6.933333e-04
-4.310000e-07,3.946667e-04,5.040000e-04,-1.440000e-04,-9.200000e-04
-4.300000e-07,2.133333e-04,4.400000e-04,-1.866667e-05,1.200000e-04
-4.290000e-07,1.680000e-04,5.680000e-04,-1.866667e-05,1.153333e-03
-4.280000e-07,6.600000e-05,-1.360000e-04,4.933333e-05,2.540000e-03
-4.270000e-07,-1.040000e-04,4.613333e-04,-8.733333e-05,-3.400000e-04
-4.260000e-07,-1.040000e-04,9.733333e-04,2.880000e-04,6.933333e-04
-4.250000e-07,-5.866666e-05,8.880000e-04,1.513333e-04,1.273333e-03
-4.240000e-07,1.226667e-04,4.613333e-04,1.973333e-04,1.846667e-03
-4.230000e-07,2.586667e-04,5.680000e-04,1.513333e-04,-4.533333e-04
-4.220000e-07,3.266667e-04,3.120000e-04,-1.440000e-04,2.333333e-04
-4.210000e-07,6.440000e-04,-4.986667e-04,-5.266667e-05,8.133333e-04
