Time(s),CH1V,CH3V,CH4V
-5.000000e-07,1.233333e-03,1.060000e-04,6.666667e-06
-4.990000e-07,1.346667e-03,3.333333e-04,6.666667e-06
-4.980000e-07,1.233333e-03,2.426667e-04,1.386667e-03
-4.970000e-07,1.460000e-03,2.540000e-04,9.266667e-04
-4.960000e-07,1.913333e-03,-4.133333e-05,-4.533333e-04
-4.950000e-07,1.346667e-03,2.666667e-05,-4.533333e-04
-4.940000e-07,2.933333e-03,-1.780000e-04,1.153333e-03
-4.930000e-07,2.366667e-03,-3.000000e-05,1.733333e-03
-4.920000e-07,2.140000e-03,-2.233333e-04,6.666667e-06
-4.910000e-07,1.573333e-03,1.973333e-04,-3.400000e-04
-4.900000e-07,2.366667e-03,1.973333e-04,1.500000e-03
-4.890000e-07,2.026667e-03,1.973333e-04,1.733333e-03
-4.880000e-07,1.800000e-03,1.626667e-04,-3.400000e-04
-4.870000e-07,1.800000e-03,2.200000e-04,-2.266667e-04
-4.860000e-07,1.800000e-03,-2.233333e-04,2.333333e-04
-4.850000e-07,1.913333e-03,-1.326667e-04,1.273333e-03
-4.840000e-07,2.253333e-03,-8.733333e-05,1.200000e-04
-4.830000e-07,1.686667e-03,-9.866666e-05,2.333333e-04
-4.820000e-07,2.140000e-03,3.800000e-05,9.266667e-04
-4.810000e-07,1.800000e-03,1.173333e-04,1.153333e-03
-4.800000e-07,1.233333e-03,2.766667e-04,1.040000e-03
-4.790000e-07,1.013333e-03,1.626667e-04,2.333333e-04
-4.780000e-07,2.480000e-03,4.000000e-06,1.040000e-03
-4.770000e-07,2.933333e-03,3.800000e-05,4.666667e-04
-4.760000e-07,2.140000e-03,-1.326667e-04,1.200000e-04
-4.750000e-07,1.686667e-03,-5.266667e-05,-3.400000e-04
-4.740000e-07,2.026667e-03,-2.006667e-04,1.500000e-03
-4.730000e-07,2.026667e-03,-5.266667e-05,1.040000e-03
-4.720000e-07,1.233333e-03,1.626667e-04,4.666667e-04
-4.710000e-07,2.026667e-03,3.333333e-04,1.040000e-03
-4.700000e-07,1.013333e-03,1.400000e-04,1.273333e-03
-4.690000e-07,2.366667e-03,1.400000e-04,1.960000e-03
-4.680000e-07,2.366667e-03,1.286667e-04,-6.866666e-04
-4.670000e-07,2.593333e-03,7.200000e-05,-1.133333e-04
-4.660000e-07,2.480000e-03,-1.553333e-04,8.133333e-04
-4.650000e-07,2.026667e-03,3.800000e-05,1.620000e-03
-4.640000e-07,1.913333e-03,-4.133333e-05,8.133333e-04
-4.630000e-07,1.460000e-03,3.106667e-04,1.153333e-03
-4.620000e-07,1.460000e-03,1.060000e-04,1.733333e-03
-4.610000e-07,1.913333e-03,1.060000e-04,1.620000e-03
-4.600000e-07,2.593333e-03,4.933333e-05,-3.400000e-04
-4.590000e-07,1.913333e-03,2.313333e-04,-5.733334e-04
-4.580000e-07,2.933333e-03,-3.000000e-05,1.040000e-03
-4.570000e-07,3.273333e-03,-5.266667e-05,8.133333e-04
-4.560000e-07,2.593333e-03,-2.686667e-04,-3.400000e-04
-4.550000e-07,2.140000e-03,2.666667e-05,1.200000e-04
-4.540000e-07,1.800000e-03,1.286667e-04,1.500000e-03
-4.530000e-07,1.913333e-03,1.173333e-04,1.960000e-03
-4.520000e-07,2.253333e-03,2.766667e-04,2.333333e-04
-4.510000e-07,1.233333e-03,2.766667e-04,-1.133333e-04
-4.500000e-07,2.026667e-03,1.173333e-04,5.800000e-04
-4.490000e-07,2.366667e-03,4.000000e-06,9.266667e-04
-4.480000e-07,2.026667e-03,-1.553333e-04,-4.533333e-04
-4.470000e-07,2.593333e-03,-1.866667e-05,-3.400000e-04
-4.460000e-07,1.913333e-03,-1.666667e-04,1.846667e-03
-4.450000e-07,2.593333e-03,1.173333e-04,1.620000e-03
-4.440000e-07,1.800000e-03,1.513333e-04,1.273333e-03
-4.430000e-07,1.013333e-03,4.013333e-04,1.200000e-04
-4.420000e-07,2.593333e-03,1.060000e-04,1.040000e-03
-4.410000e-07,2.026667e-03,2.200000e-04,1.153333e-03
-4.400000e-07,2.026667e-03,-1.666667e-04,3.466667e-04
-4.390000e-07,2.140000e-03,8.333333e-05,2.333333e-04
-4.380000e-07,2.480000e-03,-3.033333e-04,1.153333e-03
-4.370000e-07,3.046667e-03,-5.266667e-05,1.153333e-03
-4.360000e-07,1.346667e-03,-5.266667e-05,3.466667e-04
-4.350000e-07,1.233333e-03,2.200000e-04,-3.400000e-04
-4.340000e-07,2.026667e-03,2.666667e-05,2.080000e-03
-4.330000e-07,2.366667e-03,8.333333e-05,1.620000e-03
-4.320000e-07,1.573333e-03,1.626667e-04,8.133333e-04
-4.310000e-07,2.140000e-03,1.973333e-04,-3.400000e-04
-4.300000e-07,2.026667e-03,-6.466667e-05,1.153333e-03
-4.290000e-07,2.706667e-03,-1.866667e-05,1.040000e-03
-4.280000e-07,1.913333e-03,-1.100000e-04,6.933333e-04
-4.270000e-07,2.026667e-03,4.933333e-05,6.666667e-06
-4.260000e-07,2.820000e-03,-1.866667e-05,1.620000e-03
-4.250000e-07,2.366667e-03,1.626667e-04,2.193333e-03
-4.240000e-07,1.460000e-03,2.200000e-04,2.333333e-04
-4.230000e-07,2.026667e-03,2.086667e-04,1.200000e-04
-4.220000e-07,1.233333e-03,3.800000e-05,1.500000e-03
-4.210000e-07,2.366667e-03,1.400000e-04,1.386667e-03
-4.200000e-07,1.913333e-03,-1.866667e-05,-1.133333e-04
-4.190000e-07,2.366667e-03,1.973333e-04,-6.866666e-04
-4.180000e-07,2.820000e-03,-1.326667e-04,1.273333e-03
-4.170000e-07,1.913333e-03,4.933333e-05,1.620000e-03
-4.160000e-07,1.913333e-03,1.973333e-04,8.133333e-04
-4.150000e-07,1.460000e-03,3.106667e-04,2.333333e-04
-4.140000e-07,2.026667e-03,6.066667e-05,1.620000e-03
-4.130000e-07,2.253333e-03,4.000000e-06,1.620000e-03
-4.120000e-07,1.573333e-03,1.626667e-04,-1.133333e-04
-4.110000e-07,1.913333e-03,9.466667e-05,-6.866666e-04
-4.100000e-07,2.366667e-03,-8.733333e-05,1.386667e-03
-4.090000e-07,2.933333e-03,1.173333e-04,1.620000e-03
-4.080000e-07,1.573333e-03,1.060000e-04,-3.400000e-04
-4.070000e-07,3.160000e-03,1.400000e-04,6.666667e-06
-4.060000e-07,2.366667e-03,1.973333e-04,1.960000e-03
-4.050000e-07,1.573333e-03,9.466667e-05,2.080000e-03
-4.040000e-07,1.120000e-03,4.000000e-06,8.133333e-04
-4.030000e-07,1.573333e-03,1.173333e-04,-3.400000e-04
-4.020000e-07,1.686667e-03,-1.100000e-04,5.800000e-04
-4.010000e-07,2.593333e-03,4.000000e-06,1.273333e-03
-4.000000e-07,1.913333e-03,-5.266667e-05,-5.733334e-04
-3.990000e-07,1.233333e-03,2.086667e-04,2.333333e-04
-3.980000e-07,1.913333e-03,1.513333e-04,1.153333e-03
-3.970000e-07,2.820000e-03,2.540000e-04,2.193333e-03
-3.960000e-07,1.120000e-03,4.933333e-05,6.933333e-04
-3.950000e-07,1.573333e-03,8.333333e-05,-1.133333e-04
-3.940000e-07,2.706667e-03,-7.333333e-06,1.273333e-03
-3.930000e-07,2.140000e-03,1.513333e-04,1.620000e-03
-3.920000e-07,2.140000e-03,3.800000e-05,-4.533333e-04
-3.910000e-07,2.366667e-03,1.173333e-04,-5.733334e-04
-3.900000e-07,2.820000e-03,-4.133333e-05,2.193333e-03
-3.890000e-07,2.820000e-03,1.400000e-04,2.080000e-03
-3.880000e-07,2.026667e-03,1.286667e-04,2.333333e-04
-3.870000e-07,2.140000e-03,2.540000e-04,1.153333e-03
-3.860000e-07,2.366667e-03,4.000000e-06,1.040000e-03
-3.850000e-07,2.480000e-03,-1.326667e-04,1.846667e-03
-3.840000e-07,1.460000e-03,-6.466667e-05,2.333333e-04
-3.830000e-07,2.140000e-03,1.173333e-04,-4.533333e-04
-3.820000e-07,2.593333e-03,-1.893333e-04,2.333333e-04
-3.810000e-07,2.366667e-03,8.333333e-05,1.273333e-03
-3.800000e-07,2.140000e-03,-1.866667e-05,1.040000e-03
-3.790000e-07,1.233333e-03,3.106667e-04,2.333333e-04
-3.780000e-07,1.013333e-03,3.446667e-04,1.960000e-03
-3.770000e-07,1.800000e-03,1.173333e-04,1.386667e-03
-3.760000e-07,1.913333e-03,-3.000000e-05,6.933333e-04
-3.750000e-07,2.820000e-03,9.466667e-05,-3.400000e-04
