Time(s),CH1V
-1.000000e-06,-1.280000e-04
-9.980000e-07,9.866666e-05
-9.960000e-07,1.100000e-04
-9.940000e-07,2.460000e-04
-9.920000e-07,-9.400000e-05
-9.900000e-07,-3.733333e-05
-9.880000e-07,9.866666e-05
-9.860000e-07,2.800000e-04
-9.840000e-07,1.440000e-04
-9.820000e-07,5.333333e-05
-9.800000e-07,-8.266667e-05
-9.780000e-07,2.233333e-04
-9.760000e-07,2.346667e-04
-9.740000e-07,1.100000e-04
-9.720000e-07,-1.733333e-04
-9.700000e-07,-1.280000e-04
-9.680000e-07,9.866666e-05
-9.660000e-07,2.120000e-04
-9.640000e-07,2.800000e-04
-9.620000e-07,8.733333e-05
-9.600000e-07,-9.400000e-05
-9.580000e-07,2.460000e-04
-9.560000e-07,6.466667e-05
-9.540000e-07,9.866666e-05
-9.520000e-07,8.000000e-06
-9.500000e-07,4.200000e-05
-9.480000e-07,1.893333e-04
-9.460000e-07,2.460000e-04
-9.440000e-07,-1.280000e-04
-9.420000e-07,-1.053333e-04
-9.400000e-07,1.893333e-04
-9.380000e-07,1.893333e-04
-9.360000e-07,2.233333e-04
-9.340000e-07,-3.333333e-06
-9.320000e-07,4.200000e-05
-9.300000e-07,1.100000e-04
-9.280000e-07,1.213333e-04
-9.260000e-07,5.333333e-05
-9.240000e-07,-1.053333e-04
-9.220000e-07,1.326667e-04
-9.200000e-07,9.866666e-05
-9.180000e-07,1.780000e-04
-9.160000e-07,1.666667e-04
-9.140000e-07,1.326667e-04
-9.120000e-07,7.600000e-05
-9.100000e-07,3.066667e-05
-9.080000e-07,4.200000e-05
-9.060000e-07,7.600000e-05
-9.040000e-07,9.866666e-05
-9.020000e-07,1.326667e-04
-9.000000e-07,1.666667e-04
-8.980000e-07,8.000000e-06
-8.960000e-07,1.326667e-04
-8.940000e-07,4.200000e-05
-8.920000e-07,-1.280000e-04
-8.900000e-07,8.000000e-06
-8.880000e-07,1.326667e-04
-8.860000e-07,5.333333e-05
-8.840000e-07,1.933333e-05
-8.820000e-07,-3.733333e-05
-8.800000e-07,9.866666e-05
-8.780000e-07,4.200000e-05
-8.760000e-07,1.933333e-05
-8.740000e-07,8.000000e-06
-8.720000e-07,1.666667e-04
-8.700000e-07,-3.733333e-05
-8.680000e-07,-1.466667e-05
-8.660000e-07,2.120000e-04
-8.640000e-07,-2.600000e-05
-8.620000e-07,2.120000e-04
-8.600000e-07,-4.866666e-05
-8.580000e-07,1.326667e-04
-8.560000e-07,9.866666e-05
-8.540000e-07,3.066667e-05
-8.520000e-07,4.200000e-05
-8.500000e-07,1.326667e-04
